,,Gov Id,T1 Diff,T2 Diff,T3 Diff,T4 Diff,T5 Diff,Deads,Formula
448,VikThōr,58883891,373797,1974,21060,15723386,29374465,4317463,100377094
575,义Kakaroto义,96502129,532908,36701,103961,28832397,16414510,3381924,81952961
79,Całî,85689750,91651,5485,7779,23072630,22816194,1981979,80596892
178,Nerf ö,95459238,741784,95808,66842,16112423,19197285,3512311,75580859
373,Shanewarwolf,38232075,234881,108861,74204,10302518,15996776,2896762,59676642
268,TwoFacedMox,64115009,172570,49143,40189,19583686,14598612,732668,53176918
578,义Rengoku,10391630,1081877,351912,262509,12664364,11911942,2522866,51625444
153,Grandpa OG,8042386,68017,7353,37655,9837417,12787911,2264124,48997983
483,diR,37239310,641246,168829,129116,14089726,14590500,888396,48601102
338,RED SnappER,64237899,28785,2009,30514,11720224,14549881,1031069,47006400
434,TheRealMimi,217385,105450,28220,23894,13491569,11063171,1798496,46408887
193,Jedi Mätty,95676399,66460,9766,30173,9704262,10477605,2463606,45441108
532,A T L Ã S,62739007,36,30094,47510,7703579,12163702,1407067,40473385
174,Läzzy,3534140,298190,,180499,5923343,7497009,3220336,40239377
167,Himurã,63598668,170735,430850,232682,9801670,12390696,928180,40152142
172,HotShotTiger,58442808,115719,144998,7338,10054618,12372904,767643,39406284
60,Busterblader,10327115,1734,1306,610,4563364,7443373,3230197,38831292
8,ALMIGHTY BLACK,39756277,102142,52111,20705,7577514,10733437,1424710,37592648
4,义Babyy义,26254887,167730,520817,29922,9392347,8529651,1592684,36007753
293,PABAN,71320446,20286,100898,89407,9169189,11839279,411064,35314131
10,ARISA OG,8918322,73380,10756,146345,10240879,9116805,948895,34167859
269,Mr Bigfish,95676746,159607,5658,85409,7160800,8009021,1672630,33214622
336,RA38  LionsRoar,12782581,25569,56052,420861,9718489,8809111,900377,32738973
493,mantovinii,63932677,20610,4452,1381,7434890,7704519,1633678,32645996
100,Dantss个,50114134,91842,19934,1637,7849994,10328139,674849,32555366
145,GGerard,14138612,499421,39510,1641,9435694,6348298,1607058,31774638
515,xNJx,2796071,230026,131513,126121,7710304,9048610,917855,31314654
356,RubbMyNuts,13816815,65742,14367,14427,6221498,7160185,1412444,29016532
567,乄 Gembel 乄,33305369,-4496191,-689788,-980898,6323358,7948311,1043962,28483752
137,Flexÿ,63955350,30567,9157,3211,4511285,7243765,1523507,28139857
136,FlammA,57141256,49808,10389,5376,6213873,7678893,927669,27137673
449,Vivadiva,96566351,74804,1462,12495,6323985,8701644,544086,26991789
289,Odysseus シ,59797086,164165,8343,41092,7873762,8044544,478675,26834900
597,父 Crystal 父,28618527,24739,9854,5567,4244101,7767756,1156694,26719777
68,CISILIA,63774991,173492,183712,141518,5500750,6500134,1197864,25688202
252,Marcusᴳᴺᴳ,54977338,284011,95700,40116,6106556,6128574,1212244,25637168
122,Executioner AF,18373874,53996,28621,51706,6235529,6081988,1187508,25524553
564,乂 HAXOR 乂,36397118,395176,156772,200011,8193968,3819892,1611010,25499812
451,Vēnomous OG,80489423,348612,106995,87090,6994133,5931137,1044198,25121595
420,SonicSuren,62942972,65864,10732,24218,5238274,6489069,1143537,25077634
213,Kоlуan,62080073,117512,344601,109107,7128652,8066114,301674,25070924
148,Ammye 个,15984647,187260,44351,19259,5510896,6129837,1203025,24988720
378,Sir Rockzo,52619890,194552,54749,11521,5809727,6956840,827786,24690123
536,ᴰᴳ TheWall,683664,291910,23373,30989,7142825,7207125,512484,24631979
501,Nail1ÿ,63886129,262003,2936,2931,4379770,6917456,1007947,24262364
572,38 l Anasboi,67137328,149608,34942,313762,6188600,5939070,978094,23935304
80,ᴿᴬ Chalder,63737713,28442,1009,922,3664999,5793645,1424372,23798521
