Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,,,
2021-11-23,Shanewarwolf,Shanewarwolf,38232075,DK38,191592099,"288,650,963","3,355,758,150","11,399,604","10,962,817","8,988,414","185,040,362","72,259,766","2,871,798,873","29,118","12,888,936",3355758150.8,-0.800000190734863,FALSE
2021-11-23,xBigWoodx,xBigWoodx,16710828,RA38,165491992,"180,050,249","2,155,750,599","20,401,198","1,927,935","2,072,880","97,344,175","58,304,061","4,569,629,633","44,391","8,956,621",2155750599.6,-0.599999904632568,FALSE
2021-11-23,TheRealMimi,TheRealMimi,217385,RA38,160696301,"176,137,723","2,027,133,672","12,064,261","3,305,088","4,765,811","112,100,386","43,902,177","30,152,139,937","100,279","16,809,788",2027133672.2,-0.200000047683716,FALSE
2021-11-23,VikThōr,VikThor,58883891,RR38,158181873,"576,661,016","7,456,978,028","11,062,413","27,576,674","18,183,072","306,989,723","212,849,134","3,315,536,264","55,577","18,497,809",7456978028.6,-0.600000381469727,FALSE
2021-11-23,Marcusᴳᴺᴳ,Marcusᴳᴺᴳ,54977338,RR38,136854926,"213,401,766","2,335,953,895","25,345,707","5,940,628","8,389,837","118,906,773","54,818,821","1,273,113,756","72,790","12,456,493",2335953895.4,-0.400000095367432,FALSE
2021-11-23,CAP 117,CAP 117,22505871,RA38,113264336,"87,017,969","1,017,507,903","2,049,879","1,484,513","4,081,118","59,024,475","20,377,984","4,483,666,763","193,829","10,785,375",1017507903.8,-0.799999952316284,FALSE
2021-11-23,Mr Bigfish,Mr Bigfish,95676746,RP38,111350297,"54,625,176","545,251,790","2,329,082","3,398,705","5,465,726","35,250,760","8,180,903","770,472,845","16,817","2,084,673",545251790.4,-0.399999976158142,FALSE
2021-11-23,Läzzy,Lazzy,3534140,DK38,108323847,"49,787,588","471,818,057","6,334,307","2,170,062","4,173,518","29,267,702","7,841,999","21,104,326,362","119,247","6,565,655",471818057.4,-0.399999976158142,FALSE
2021-11-23,WomBort,WomBort,17736681,RR38,105576319,"213,760,897","2,863,957,485","3,459,758","2,536,182","4,918,350","121,841,237","81,005,370","6,101,557,848","33,012","10,507,192",2863957485.6,-0.599999904632568,FALSE
2021-11-23,义Kakaroto义,义Kakaroto义,96502129,F38i,105466551,"133,344,620","1,296,963,003","2,932,855","3,384,116","9,170,585","110,421,542","7,435,522","2,696,859,235","15,334","3,827,725",1296963003,0,FALSE
2021-11-23,Nerf ö,Nerf o,95459238,RR38,104593035,"73,695,271","748,770,880","3,957,410","1,542,289","4,748,235","54,304,486","9,142,851","588,675,284","9,741","5,048,118",748770880,0,FALSE
