Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-11-22,LiarsV,LiarsV,0,RP38,32040216.0,10643174,74351106,1153881,1216452,2075289,6056477,141075,234949535,12087,598531
2021-11-22,DolphynPanchito,DolphynPanchito,10078313,Hp38,40481245.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11302,2860713
2021-12-02,DolphynPanchito,DolphynPanchito,10078313,Hp38,40481265.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11312,2860713
2021-12-09,DolphynPanchito,DolphynPanchito,10078313,Hp38,40481265.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11319,2860713
2021-12-14,DolphynPanchito,DolphynPanchito,10078313,Hp38,40759414.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11327,2860713
2021-12-29,DolphynPanchito,DolphynPanchito,10078313,Hp38,40759414.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11332,2860713
2022-01-01,DolphynPanchito,DolphynPanchito,10078313,[{Hp38]Humble plebeians,40759414.0,1260784,17659887,1649,1124,11640,731667,514704,15048097864,11334,2860713
2021-11-22,Pochemuchka,Pochemuchka,10154350,RR38,74367049.0,91544287,673548865,30236016,2276579,5500106,42968364,10563222,7903333860,74916,6901099
2021-12-02,Pochemuchka,Pochemuchka,10154350,RR38,75065549.0,91602224,674159755,30236016,2276579,5500106,43023149,10566374,7903333860,75242,6901099
2021-12-09,Pochemuchka,Pochemuchka,10154350,RR38,75606149.0,91602224,674159755,30236016,2276579,5500106,43023149,10566374,7903333860,75582,6901099
2021-12-14,Pochemuchka,Pochemuchka,10154350,RR38,73629949.0,4191967,681501261,30236016,2277182,5500106,43023149,10566374,7903333860,76262,6901099
2021-12-29,Pochemuchka,Pochemuchka,10154350,RR38,76309239.0,92651166,690073599,30239587,2277519,5500106,43520886,11113068,7903333860,77205,6943890
2022-01-01,Pochemuchka,Pochemuchka,10154350,RR38,76393239.0,92651166,690073599,30239587,2277519,5500106,43520886,11113068,7903333860,77245,6943890
2021-11-22,Sherl0cked,Sherl0cked,10205602,Hp38,30068248.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5193,367973
2021-12-02,Sherl0cked,Sherl0cked,10205602,Hp38,31123572.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5198,367973
2021-12-09,Sherl0cked,Sherl0cked,10205602,Hp38,31963419.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5205,367973
2021-12-14,Sherl0cked,Sherl0cked,10205602,[{Hp38]Humble plebeians,31963419.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5207,367973
2021-12-29,Sherl0cked,Sherl0cked,10205602,Hp38,31962853.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5207,367973
2022-01-01,Sherl0cked,Sherl0cked,10205602,Hp38,31962853.0,3393233,9297302,2585852,52249,4001,636299,114832,2336785737,5207,367973
2021-11-22,Busterblader,Busterblader,10327115,RR38,84362689.0,155268938,1969516304,2828101,2309722,4605320,96460594,49065201,16839934438,168824,17838297
2021-12-02,Busterblader,Busterblader,10327115,RR38,87333089.0,155268938,1969516304,2828101,2309722,4605320,96460594,49065201,16839934438,169807,17838297
2021-12-09,Busterblader,Busterblader,10327115,RR38,88223489.0,155268938,1969516304,2828101,2309722,4605320,96460594,49065201,16839934438,170424,17838297
2021-12-14,Busterblader,Busterblader,10327115,RR38,85383299.0,157556152,2007586034,2828101,2309901,4605538,97227378,50585234,16924934438,171845,18402657
2021-12-29,Busterblader,Busterblader,10327115,Rt38,66165877.0,167279325,2164022803,2829835,2311028,4605930,101023958,56508574,17704934438,174237,21068494
2022-01-01,Busterblader,Busterblader,10327115,RR38,65193799.0,168729201,2182929679,2878559,2311069,4605930,101936475,56997168,17734934438,175447,21265188
2021-11-22,义Rengoku,义Rengoku,10391630,RR38,74733668.0,133494266,1664335978,2991412,1028076,2021051,89547720,37906007,2966099777,69642,7481045
2021-12-02,义Rengoku,义Rengoku,10391630,RR38,80665722.0,10588266,1664335978,991412,28076,21051,9547720,7,2966099777,69826,7481045
2021-12-09,义Rengoku,义Rengoku,10391630,RR38,81676811.0,133494266,1664335978,2991412,1028076,2021051,89547720,37906007,2966099777,69904,7481045
2021-12-14,义Rengoku,义Rengoku,10391630,RR38,77744161.0,138577300,1737870337,3046559,1243632,2085813,91759541,40441755,2966099777,70426,7779632
2021-12-29,义Rengoku义,义Rengoku义,10391630,Rt38,64867029.0,159766870,2031188693,4073289,1379988,2283560,102212084,49817949,2966099777,72075,10003911
2022-01-01,义Rengoku义,义Rengoku义,10391630,RR38,63584671.0,160722981,2043528304,4080720,1383066,2287867,102863200,50108128,2966099777,72484,10229913
2021-11-22,Ｓｌoｔｈ,Ｓｌoｔｈ,10621502,RR38,72917766.0,75978751,859688449,1614226,1686923,4679467,52268881,15729254,4674097550,77716,6796450
2021-12-02,Ｓｌoｔｈ,Ｓｌoｔｈ,10621502,RR38,73926766.0,75978751,859688449,1614226,1686923,4679467,52268881,15729254,4674097550,77895,6796450
