Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-11-22,00Percentage00,00Percentage00,23947755,Rw38,32177200,1413230,11075326,104722,408789,144711,544220,210788,2599872831,7149,899229
2021-11-22,19Alim93,19Alim93,62399898,RR38,71995282,59559036,632574879,2760289,2727016,1488315,43105279,9478137,1070995837,94029,4121549
2021-11-22,1LimitBreakr,1LimitBreakr,28759255,RK38,75332769,80479702,944384416,8958194,893212,4081796,40645083,25901417,1009147076,57486,6284480
2021-11-22,1P FOX,1P FOX,52435883,RK38,46938230,22701778,192571927,5603669,1633946,928013,10625175,3910975,853259425,38887,5197756
2021-11-22,38 l Anasboi,38 l Anasboi,67137328,RK38,54628459,34874867,290807101,9892018,585469,1623220,17431832,5342328,4666196911,144094,2744428
2021-11-22,420 panda,420 panda,59951634,Rw38,26666831,14466006,80144074,3094772,3136347,2287719,5484181,462987,429514835,15168,2177432
2021-11-22,68GL Caile Juhn,68GL Caile Juhn,76153330,RX38,30238305,2879322,26775886,388130,119700,104470,1929946,337076,382170885,13902,2121111
2021-11-22,A T L Ã S,A T L A S,62739007,RR38,85779533,371853927,4448561843,9780299,4592567,9666215,255754113,92060733,5553381226,91789,13846384
2021-11-22,A i n gˢᶠ,A i n gsᶠ,76585321,Rw38,32430812,1923532,7958558,244993,865158,333001,476036,4344,388583723,30750,182226
2021-11-22,A7X fold,A7X fold,63900101,RA38,42098033,5955258,55441934,36702,295401,443573,5052214,127368,2025060388,40970,416404
2021-11-22,A7med ᶤᶺ,A7med Iᶺ,83318918,RX38,30399003,1025651,7069178,127642,164598,143641,565551,24219,16920845,13643,77309
2021-11-22,ABØ AŁ HASSAN,ABO AL HASSAN,63896422,RA38,47038211,23387492,220882241,1463775,1238642,1872908,16562277,2249890,1787893543,32698,4277609
2021-11-22,ALMIGHTY BLACK,ALMIGHTY BLACK,39756277,RP38,86344164,134379417,1388018683,7424635,23583266,15385776,48189068,39796672,1857049380,57104,4082660
2021-11-22,AMNA CASB,AMNA CASB,51213820,Ri38,38374900,4737548,54534989,270976,191819,138434,2918296,1218023,1219611067,15189,1672398
2021-11-22,ARGOBEL,ARGOBEL,64905605,RX38,40693195,5867307,57201229,191738,231728,251739,4814957,377145,1093690235,44135,3021571
2021-11-22,ARISA OG,ARISA OG,8918322,RA38,80218075,127854036,996116918,44801854,505692,1365411,64293806,16887273,8301245146,52110,7025886
2021-11-22,ASAP Flacko,ASAP Flacko,30895403,LF38,26041340,382880,3533514,780,66973,1138,288492,25497,8969949970,1900,201678
2021-11-22,ASHIMO LION,ASHIMO LION,65877360,Rt38,45240881,60105605,160060854,46549584,974789,1196540,8367864,3016828,14433177580,68996,3552674
2021-11-22,ASTARTEA I,ASTARTEA I,31137582,RE38,25122563,53631,675081,8,0,0,39738,13885,4158040699,5399,260009
2021-11-22,Aahil1,Aahil1,81439535,Rw38,32169946,2607011,19785582,340532,282742,228643,1686446,68648,703861427,34194,434929
2021-11-22,AbbyRigg Hèró,AbbyRigg Hero,1616635,RP38,85505853,105199987,876773456,42044770,194511,231705,38753136,23975865,5249844836,53844,7035567
2021-11-22,AbuZaki,AbuZaki,86883323,Vdcm,27908207,3627834,27018893,293668,696689,566358,1812103,259016,34870861,24135,2562436
2021-11-22,AdjieDoanks,AdjieDoanks,63375965,Rw38,28645866,2965692,31730769,264516,158863,201915,1625548,714850,632029893,23840,2990874
2021-11-22,Adley H,Adley H,84623577,RP38,32918202,17254142,156340205,1316098,3038873,1563755,8296410,3039006,2948380780,26052,1498675
2021-11-22,Adragar ᶤᶺ,Adragar Iᶺ,83307848,RX38,35260140,8627748,32718432,4280040,800900,1304346,1980600,261862,801853976,25472,275866
2021-11-22,AfroditA I,AfroditA I,20605198,RE38,29908932,884584,9469865,36977,153,546,747818,99090,1107204316,11299,1430505
2021-11-22,AhBengKoh,AhBengKoh,60303728,Rv38,26562371,977622,12132455,1808,260,191,737645,237718,1877809869,24127,713983
2021-11-22,Ahmad 81,Ahmad 81,53474171,RA38,61609173,63231340,443281041,27726019,703182,863551,24589649,9348939,1476144358,90893,5230923
2021-11-22,Akenkeren2,Akenkeren2,86238869,[{]t38]]erri ]ribe,24983351,411435,3469676,0,47858,43635,319942,0,1079753789,1999,282083
2021-11-22,Albabtooᶤᶺ,AlbabtooIᶺ,83321029,RX38,28036222,5508122,31009474,1409081,1123304,571805,2188481,215451,40538428,27009,195417
2021-11-22,Alex18Croatia,Alex18Croatia,21090207,RA38,72486339,134641743,1210811390,30160742,3074389,4538566,75688472,21179574,5779545796,102717,8845546
2021-11-22,AlfatherKrawaTR,AlfatherKrawaTR,29216170,RX38,39445103,11708547,88150115,4353265,308312,317667,4919389,1809914,3600882482,15858,1823815
2021-11-22,Ali Gátor,Ali Gator,86002978,RX38,36076719,14976117,79752028,5461731,2555627,988747,4980680,989332,550041816,47214,1008753
2021-11-22,Alim aqay,Alim aqay,29801029,Rt38,28961345,2938453,25775948,370354,263426,169804,1820157,314712,7859615845,19648,2890197
2021-11-22,Alischer,Alischer,6488711,RA38,67865478,249914557,2479538420,42535634,1980190,3311821,158791461,43295451,10676283578,138761,17137662
2021-11-22,Alotta Fagina,Alotta Fagina,16891821,RK38,68399585,46522835,583744478,629723,120710,485386,32430475,12856541,14458674516,103663,5362569
2021-11-22,AlphaOmegA,AlphaOmegA,11915882,RK38,55352378,37900696,369133738,7714130,2189124,698626,18555816,8743000,2123618424,25274,9502580
2021-11-22,Alungga,Alungga,23896432,RP38,63164326,171214823,2190518423,11163626,4366744,3070570,88500773,64113110,8425802895,36158,9336943
2021-11-22,Amaiaz,Amaiaz,25866777,Hp38,38279392,497874,6124281,3045,1146,640,374204,118839,7453164990,8640,769830
2021-11-22,Amen0sa,Amen0sa,38132570,RR38,82162236,133241748,1718557346,2529252,5310389,3728672,74095267,47578168,2217664876,69593,8234829
2021-11-22,Ammye 个,Ammye 个,15984647,RK38,87705754,167104037,2358737078,2270710,538156,1145136,91037462,72112573,7712014559,161776,11338767
2021-11-22,Anarchy lord,Anarchy lord,51415089,RC38,42067100,2470169,18666340,481232,376189,232144,1072294,308310,3778231008,8680,501772
2021-11-22,Anbu Andrew,Anbu Andrew,95679756,RK38,29973934,7490928,51946339,2178516,333219,802402,3590123,586668,0,0,0
2021-11-22,AndrewB2000,AndrewB2000,7681587,RK38,74859832,171405196,1740452057,20592008,5495308,11511525,99683016,34123339,20654549276,114943,9830061
2021-11-22,AndrewB2017,AndrewB2017,4209884,Rv38,30383929,1810793,26281109,21038,10978,56054,842373,880350,7494012108,13175,1811319
2021-11-22,AngelOfImpurity,AngelOfImpurity,63858590,RK38,48413642,20498992,228284987,1182647,1034460,724282,12806965,4750638,1704862552,48758,2882028
2021-11-22,Angelᵛˢ,Angelᵛs,80264477,Rt38,35660339,4444680,40976322,350774,303308,175308,3270748,344542,1031135758,56953,592196
2021-11-22,Antź,Antz,84472406,Ri38,28941603,15566418,102278456,4539704,1454079,785537,8042175,744923,624737991,21295,902651
2021-11-22,Aoi  Sora,Aoi  Sora,68399761,,38075054,15093865,40140500,11359343,466503,611374,1864277,792368,397443573,14917,2067458
2021-11-22,Apocó,Apoco,18881145,Ri38,37465999,6498289,83008082,217471,64556,265529,3724130,2226603,5750045610,8444,6084507
2021-11-22,Aquilasia,Aquilasia,62763532,Rt38,41242102,6980134,41205270,1051044,1808011,1168600,2634494,317985,1357008082,27689,765196
2021-11-22,Arif Rh01,Arif Rh01,61924943,Ri38,33743724,14577690,52936491,10340339,202373,212857,2683017,1139104,380625813,14958,2345599
2021-11-22,AssAssin A,AssAssin A,52419470,RA38,66921805,60568310,656751904,3561882,1794209,4834015,37444903,12933301,3938632055,60150,5650691
2021-11-22,Atreus591,Atreus591,70857667,RA38,71587912,27464277,362381647,380216,113599,1128234,15927909,9914319,2341343997,35191,2983749
2021-11-22,AtticusWiggleBs,AtticusWiggleBs,80187532,RK38,41408666,3631263,37039836,205122,107130,248278,2562322,508411,452749706,33827,275256
2021-11-22,August ᴰᴷ,August DK,69972191,Rt38,34449320,10637601,100824594,718974,516006,561477,7942000,899144,696963559,33210,2362023
2021-11-22,Azalynz DG AF,Azalynz DG AF,21463108,RK38,80029401,57676386,749268149,1081577,1538604,1135609,33697973,20222623,11309486899,221673,7985918
2021-11-22,Aɢɴɪ,Aɢɴɪ,96119113,RP38,27170419,8278312,43786186,2928130,854099,818133,3533917,144033,139713377,23442,107768
2021-11-22,A죽음,A죽음,66226973,Rt38,35608239,11670383,80130547,2872018,951827,1008095,6314875,523568,367700571,15888,2639431
2021-11-22,B AL AZS,B AL AZS,63572648,Rt38,41074681,4263419,46014870,128070,213682,432903,2594500,894264,2634207508,33740,1949198
2021-11-22,B O K U T Oヅ,B O K U T Oヅ,75888646,RA38,41677619,32566241,295954345,7976477,505309,749003,17635662,5699790,586110295,43377,3031780
2021-11-22,B T K,B T K,91606916,RX38,33079914,17217525,103250888,3248502,2140709,4053115,7339667,435532,96918322,29864,443193
2021-11-22,BANTENG BLAGU,BANTENG BLAGU,70669896,rm38,25325775,1623364,6974464,378443,557290,213959,454508,19164,1201419273,8465,991040
2021-11-22,BDGㅊALVINᴿⱽ,BDGㅊALVINRⱽ,64525422,RR38,54424618,37674979,465599959,1068096,486042,1063064,24099354,10958423,2461353379,46270,2510263
2021-11-22,BDGㅊHR Habib,BDGㅊHR Habib,36145615,RR38,69300877,135290332,1186074915,32086327,2713698,2302266,79873963,18314078,4006555661,107027,5924830
2021-11-22,BDGㅊHridxᴿⱽ,BDGㅊHridxRⱽ,62756828,RK38,40464484,11698350,129796760,470614,329118,301058,8411103,2186457,591005450,27931,1444777
2021-11-22,BENORAN,BENORAN,79083099,RX38,33585708,13316629,142677177,477667,1123024,705584,8269382,2740972,855479597,20798,2685912
2021-11-22,BEP 1,BEP 1,10806254,RP38,71916626,43549971,562222096,559080,618867,1226494,26694403,14451127,3376433939,36296,7619785
2021-11-22,BIICHO DORADO,BIICHO DORADO,17502418,Rt38,46758287,11924807,45466040,7824544,6301,115440,3614367,364155,840325639,15834,3202724
2021-11-22,Baby Lieber,Baby Lieber,95676651,RP38,45041090,20580167,175007570,2861810,2048630,1332112,12174280,2163335,979762068,31808,725673
2021-11-22,BabyBlackshadow,BabyBlackshadow,77644159,F38s,24831644,343694,1032562,167690,91587,4720,79697,0,1193500933,3329,39450
2021-11-22,BabyChoda,BabyChoda,17739137,,24856828,323190,3358880,52153,22824,448,165429,82336,3474705423,6319,2446194
2021-11-22,BabyfuzZy,BabyfuzZy,12168629,RR38,68896448,36198085,449299626,665901,425132,2065223,22078129,10963700,2209423701,51466,5143446
2021-11-22,Baio nishizawa,Baio nishizawa,61086085,Rt38,35351778,10764527,81536571,1595017,2273365,1180932,4235715,1479498,543760985,47199,1775186
2021-11-22,Bajietong OG,Bajietong OG,14020401,RR38,63826179,21307966,215746276,4053802,477433,119005,11964989,4692737,3139833990,51765,5681828
2021-11-22,Bamboo ALL,Bamboo ALL,67074469,Rt38,46630179,37222737,90325079,29782397,283960,872600,4536532,1747248,5059162458,140654,3508069
2021-11-22,Bangᴿⱽ,BangRⱽ,58615587,RK38,41794378,37501594,340439995,5598999,2467896,4903691,17585052,6945956,1326365163,46175,3170224
2021-11-22,Bani Ali,Bani Ali,62988416,Rt38,26352297,4678116,34203713,456185,875461,754256,2249975,342239,3428818289,15207,1707916
2021-11-22,BankOfRisk人,BankOfRisk人,77645158,Ri38,28996878,1225313,10264184,109212,114836,7300,989583,4382,909127340,4451,252691
2021-11-22,Bar Liar Y,Bar Liar Y,76502028,F38i,25093643,8960779,37843104,3110611,1527095,1632928,2616782,73363,5021133930,10115,1602272
2021-11-22,Barakjiii,Barakjiii,76297693,RK38,52304620,57271774,328159597,30161835,573299,811368,19677028,6048244,2789973019,43293,3985575
2021-11-22,Barbosah,Barbosah,53734445,RA38,78606358,149735522,1456827508,13684261,10232831,10643061,91245463,23929906,732703098,49374,9076466
2021-11-22,BassPirateRed,BassPirateRed,62608636,RK38,52004091,15467338,177051990,972832,1093060,397366,8699976,4304104,3081804778,76101,6218126
