Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-11-22,00Percentage00,00Percentage00,23947755,Rw38,"32,177,200","1,413,230","11,075,326","104,722","408,789","144,711","544,220","210,788","2,599,872,831",7149,"899,229"
2021-11-22,19Alim93,19Alim93,62399898,RR38,"71,995,282","59,559,036","632,574,879","2,760,289","2,727,016","1,488,315","43,105,279","9,478,137","1,070,995,837",94029,"4,121,549"
2021-11-22,1LimitBreakr,1LimitBreakr,28759255,RK38,"75,332,769","80,479,702","944,384,416","8,958,194","893,212","4,081,796","40,645,083","25,901,417","1,009,147,076",57486,"6,284,480"
2021-11-22,1P FOX,1P FOX,52435883,RK38,"46,938,230","22,701,778","192,571,927","5,603,669","1,633,946","928,013","10,625,175","3,910,975","853,259,425",38887,"5,197,756"
2021-11-22,38 l Anasboi,38 l Anasboi,67137328,RK38,"54,628,459","34,874,867","290,807,101","9,892,018","585,469","1,623,220","17,431,832","5,342,328","4,666,196,911",144094,"2,744,428"
2021-11-22,420 panda,420 panda,59951634,Rw38,"26,666,831","14,466,006","80,144,074","3,094,772","3,136,347","2,287,719","5,484,181","462,987","429,514,835",15168,"2,177,432"
2021-11-22,68GL Caile Juhn,68GL Caile Juhn,76153330,RX38,"30,238,305","2,879,322","26,775,886","388,130","119,700","104,470","1,929,946","337,076","382,170,885",13902,"2,121,111"
2021-11-22,A T L Ã S,A T L A S,62739007,RR38,"85,779,533","371,853,927","4,448,561,843","9,780,299","4,592,567","9,666,215","255,754,113","92,060,733","5,553,381,226",91789,"13,846,384"
2021-11-22,A i n gˢᶠ,A i n gsᶠ,76585321,Rw38,"32,430,812","1,923,532","7,958,558","244,993","865,158","333,001","476,036","4,344","388,583,723",30750,"182,226"
2021-11-22,A7X fold,A7X fold,63900101,RA38,"42,098,033","5,955,258","55,441,934","36,702","295,401","443,573","5,052,214","127,368","2,025,060,388",40970,"416,404"
2021-11-22,A7med ᶤᶺ,A7med Iᶺ,83318918,RX38,"30,399,003","1,025,651","7,069,178","127,642","164,598","143,641","565,551","24,219","16,920,845",13643,"77,309"
2021-11-22,ABØ AŁ HASSAN,ABO AL HASSAN,63896422,RA38,"47,038,211","23,387,492","220,882,241","1,463,775","1,238,642","1,872,908","16,562,277","2,249,890","1,787,893,543",32698,"4,277,609"
2021-11-22,ALMIGHTY BLACK,ALMIGHTY BLACK,39756277,RP38,"86,344,164","134,379,417","1,388,018,683","7,424,635","23,583,266","15,385,776","48,189,068","39,796,672","1,857,049,380",57104,"4,082,660"
2021-11-22,AMNA CASB,AMNA CASB,51213820,Ri38,"38,374,900","4,737,548","54,534,989","270,976","191,819","138,434","2,918,296","1,218,023","1,219,611,067",15189,"1,672,398"
2021-11-22,ARGOBEL,ARGOBEL,64905605,RX38,"40,693,195","5,867,307","57,201,229","191,738","231,728","251,739","4,814,957","377,145","1,093,690,235",44135,"3,021,571"
2021-11-22,ARISA OG,ARISA OG,8918322,RA38,"80,218,075","127,854,036","996,116,918","44,801,854","505,692","1,365,411","64,293,806","16,887,273","8,301,245,146",52110,"7,025,886"
2021-11-22,ASAP Flacko,ASAP Flacko,30895403,LF38,"26,041,340","382,880","3,533,514",780,"66,973","1,138","288,492","25,497","8,969,949,970",1900,"201,678"
2021-11-22,ASHIMO LION,ASHIMO LION,65877360,Rt38,"45,240,881","60,105,605","160,060,854","46,549,584","974,789","1,196,540","8,367,864","3,016,828","14,433,177,580",68996,"3,552,674"
2021-11-22,ASTARTEA I,ASTARTEA I,31137582,RE38,"25,122,563","53,631","675,081",8,0,0,"39,738","13,885","4,158,040,699",5399,"260,009"
2021-11-22,Aahil1,Aahil1,81439535,Rw38,"32,169,946","2,607,011","19,785,582","340,532","282,742","228,643","1,686,446","68,648","703,861,427",34194,"434,929"
2021-11-22,AbbyRigg Hèró,AbbyRigg Hero,1616635,RP38,"85,505,853","105,199,987","876,773,456","42,044,770","194,511","231,705","38,753,136","23,975,865","5,249,844,836",53844,"7,035,567"
2021-11-22,AbuZaki,AbuZaki,86883323,Vdcm,"27,908,207","3,627,834","27,018,893","293,668","696,689","566,358","1,812,103","259,016","34,870,861",24135,"2,562,436"
2021-11-22,AdjieDoanks,AdjieDoanks,63375965,Rw38,"28,645,866","2,965,692","31,730,769","264,516","158,863","201,915","1,625,548","714,850","632,029,893",23840,"2,990,874"
2021-11-22,Adley H,Adley H,84623577,RP38,"32,918,202","17,254,142","156,340,205","1,316,098","3,038,873","1,563,755","8,296,410","3,039,006","2,948,380,780",26052,"1,498,675"
2021-11-22,Adragar ᶤᶺ,Adragar Iᶺ,83307848,RX38,"35,260,140","8,627,748","32,718,432","4,280,040","800,900","1,304,346","1,980,600","261,862","801,853,976",25472,"275,866"
2021-11-22,AfroditA I,AfroditA I,20605198,RE38,"29,908,932","884,584","9,469,865","36,977",153,546,"747,818","99,090","1,107,204,316",11299,"1,430,505"
2021-11-22,AhBengKoh,AhBengKoh,60303728,Rv38,"26,562,371","977,622","12,132,455","1,808",260,191,"737,645","237,718","1,877,809,869",24127,"713,983"
2021-11-22,Ahmad 81,Ahmad 81,53474171,RA38,"61,609,173","63,231,340","443,281,041","27,726,019","703,182","863,551","24,589,649","9,348,939","1,476,144,358",90893,"5,230,923"
2021-11-22,Akenkeren2,Akenkeren2,86238869,[{]t38]]erri ]ribe,"24,983,351","411,435","3,469,676",0,"47,858","43,635","319,942",0,"1,079,753,789",1999,"282,083"
2021-11-22,Albabtooᶤᶺ,AlbabtooIᶺ,83321029,RX38,"28,036,222","5,508,122","31,009,474","1,409,081","1,123,304","571,805","2,188,481","215,451","40,538,428",27009,"195,417"
2021-11-22,Alex18Croatia,Alex18Croatia,21090207,RA38,"72,486,339","134,641,743","1,210,811,390","30,160,742","3,074,389","4,538,566","75,688,472","21,179,574","5,779,545,796",102717,"8,845,546"
2021-11-22,AlfatherKrawaTR,AlfatherKrawaTR,29216170,RX38,"39,445,103","11,708,547","88,150,115","4,353,265","308,312","317,667","4,919,389","1,809,914","3,600,882,482",15858,"1,823,815"
2021-11-22,Ali Gátor,Ali Gator,86002978,RX38,"36,076,719","14,976,117","79,752,028","5,461,731","2,555,627","988,747","4,980,680","989,332","550,041,816",47214,"1,008,753"
2021-11-22,Alim aqay,Alim aqay,29801029,Rt38,"28,961,345","2,938,453","25,775,948","370,354","263,426","169,804","1,820,157","314,712","7,859,615,845",19648,"2,890,197"
2021-11-22,Alischer,Alischer,6488711,RA38,"67,865,478","249,914,557","2,479,538,420","42,535,634","1,980,190","3,311,821","158,791,461","43,295,451","10,676,283,578",138761,"17,137,662"
2021-11-22,Alotta Fagina,Alotta Fagina,16891821,RK38,"68,399,585","46,522,835","583,744,478","629,723","120,710","485,386","32,430,475","12,856,541","14,458,674,516",103663,"5,362,569"
2021-11-22,AlphaOmegA,AlphaOmegA,11915882,RK38,"55,352,378","37,900,696","369,133,738","7,714,130","2,189,124","698,626","18,555,816","8,743,000","2,123,618,424",25274,"9,502,580"
2021-11-22,Alungga,Alungga,23896432,RP38,"63,164,326","171,214,823","2,190,518,423","11,163,626","4,366,744","3,070,570","88,500,773","64,113,110","8,425,802,895",36158,"9,336,943"
2021-11-22,Amaiaz,Amaiaz,25866777,Hp38,"38,279,392","497,874","6,124,281","3,045","1,146",640,"374,204","118,839","7,453,164,990",8640,"769,830"
2021-11-22,Amen0sa,Amen0sa,38132570,RR38,"82,162,236","133,241,748","1,718,557,346","2,529,252","5,310,389","3,728,672","74,095,267","47,578,168","2,217,664,876",69593,"8,234,829"
2021-11-22,Ammye 个,Ammye 个,15984647,RK38,"87,705,754","167,104,037","2,358,737,078","2,270,710","538,156","1,145,136","91,037,462","72,112,573","7,712,014,559",161776,"11,338,767"
2021-11-22,Anarchy lord,Anarchy lord,51415089,RC38,"42,067,100","2,470,169","18,666,340","481,232","376,189","232,144","1,072,294","308,310","3,778,231,008",8680,"501,772"
2021-11-22,Anbu Andrew,Anbu Andrew,95679756,RK38,"29,973,934","7,490,928","51,946,339","2,178,516","333,219","802,402","3,590,123","586,668",0,0,0
2021-11-22,AndrewB2000,AndrewB2000,7681587,RK38,"74,859,832","171,405,196","1,740,452,057","20,592,008","5,495,308","11,511,525","99,683,016","34,123,339","20,654,549,276",114943,"9,830,061"
2021-11-22,AndrewB2017,AndrewB2017,4209884,Rv38,"30,383,929","1,810,793","26,281,109","21,038","10,978","56,054","842,373","880,350","7,494,012,108",13175,"1,811,319"
2021-11-22,AngelOfImpurity,AngelOfImpurity,63858590,RK38,"48,413,642","20,498,992","228,284,987","1,182,647","1,034,460","724,282","12,806,965","4,750,638","1,704,862,552",48758,"2,882,028"
2021-11-22,Angelᵛˢ,Angelᵛs,80264477,Rt38,"35,660,339","4,444,680","40,976,322","350,774","303,308","175,308","3,270,748","344,542","1,031,135,758",56953,"592,196"
2021-11-22,Antź,Antz,84472406,Ri38,"28,941,603","15,566,418","102,278,456","4,539,704","1,454,079","785,537","8,042,175","744,923","624,737,991",21295,"902,651"
2021-11-22,Aoi  Sora,Aoi  Sora,68399761,,"38,075,054","15,093,865","40,140,500","11,359,343","466,503","611,374","1,864,277","792,368","397,443,573",14917,"2,067,458"
2021-11-22,Apocó,Apoco,18881145,Ri38,"37,465,999","6,498,289","83,008,082","217,471","64,556","265,529","3,724,130","2,226,603","5,750,045,610",8444,"6,084,507"
2021-11-22,Aquilasia,Aquilasia,62763532,Rt38,"41,242,102","6,980,134","41,205,270","1,051,044","1,808,011","1,168,600","2,634,494","317,985","1,357,008,082",27689,"765,196"
2021-11-22,Arif Rh01,Arif Rh01,61924943,Ri38,"33,743,724","14,577,690","52,936,491","10,340,339","202,373","212,857","2,683,017","1,139,104","380,625,813",14958,"2,345,599"
2021-11-22,AssAssin A,AssAssin A,52419470,RA38,"66,921,805","60,568,310","656,751,904","3,561,882","1,794,209","4,834,015","37,444,903","12,933,301","3,938,632,055",60150,"5,650,691"
2021-11-22,Atreus591,Atreus591,70857667,RA38,"71,587,912","27,464,277","362,381,647","380,216","113,599","1,128,234","15,927,909","9,914,319","2,341,343,997",35191,"2,983,749"
2021-11-22,AtticusWiggleBs,AtticusWiggleBs,80187532,RK38,"41,408,666","3,631,263","37,039,836","205,122","107,130","248,278","2,562,322","508,411","452,749,706",33827,"275,256"
2021-11-22,August ᴰᴷ,August DK,69972191,Rt38,"34,449,320","10,637,601","100,824,594","718,974","516,006","561,477","7,942,000","899,144","696,963,559",33210,"2,362,023"
2021-11-22,Azalynz DG AF,Azalynz DG AF,21463108,RK38,"80,029,401","57,676,386","749,268,149","1,081,577","1,538,604","1,135,609","33,697,973","20,222,623","11,309,486,899",221673,"7,985,918"
2021-11-22,Aɢɴɪ,Aɢɴɪ,96119113,RP38,"27,170,419","8,278,312","43,786,186","2,928,130","854,099","818,133","3,533,917","144,033","139,713,377",23442,"107,768"
2021-11-22,A죽음,A죽음,66226973,Rt38,"35,608,239","11,670,383","80,130,547","2,872,018","951,827","1,008,095","6,314,875","523,568","367,700,571",15888,"2,639,431"
2021-11-22,B AL AZS,B AL AZS,63572648,Rt38,"41,074,681","4,263,419","46,014,870","128,070","213,682","432,903","2,594,500","894,264","2,634,207,508",33740,"1,949,198"
2021-11-22,B O K U T Oヅ,B O K U T Oヅ,75888646,RA38,"41,677,619","32,566,241","295,954,345","7,976,477","505,309","749,003","17,635,662","5,699,790","586,110,295",43377,"3,031,780"
2021-11-22,B T K,B T K,91606916,RX38,"33,079,914","17,217,525","103,250,888","3,248,502","2,140,709","4,053,115","7,339,667","435,532","96,918,322",29864,"443,193"
2021-11-22,BANTENG BLAGU,BANTENG BLAGU,70669896,rm38,"25,325,775","1,623,364","6,974,464","378,443","557,290","213,959","454,508","19,164","1,201,419,273",8465,"991,040"
2021-11-22,BDGㅊALVINᴿⱽ,BDGㅊALVINRⱽ,64525422,RR38,"54,424,618","37,674,979","465,599,959","1,068,096","486,042","1,063,064","24,099,354","10,958,423","2,461,353,379",46270,"2,510,263"
