,Governor ID,Name,Date,Ranking,KVK Contrib,Kills Contrib,Deads Contrib,RSS Contrib,Power,PreKVK Power,Total Kills,Power / KVK Contrib
1278,25538500,UKnowWho,2021-12-09,1109,0.0,0,0,0.0,6345505.0,6345505.0,0,inf
1277,96199430,Killer X Marco,2021-12-09,1028,0.0,0,0,0.0,6646280.0,6646280.0,0,inf
1276,95808013,Anbu Kyando,2021-12-09,982,0.0,0,0,0.0,9616883.0,9616883.0,0,inf
1275,83636766,belaguu,2021-12-09,1265,0.0,0,0,0.0,9633111.0,9633111.0,0,inf
1274,90940423,Valkyrie Valara,2021-12-09,1171,0.0,0,0,0.0,10585390.0,10585390.0,0,inf
1273,96245101,Falcon Solider,2021-12-09,1001,0.0,0,0,0.0,10613431.0,10613431.0,0,inf
1272,96126999,Princess Avalie,2021-12-09,970,0.0,0,0,0.0,11257225.0,11257225.0,0,inf
1271,96273838,M3llow Ewert,2021-12-09,990,0.0,0,0,0.0,11974368.0,11974368.0,0,inf
1270,97387239,Miss Riah Swann,2021-12-09,935,0.0,0,0,0.0,11976409.0,11976409.0,0,inf
1269,96239466,Happy Honda,2021-12-09,930,0.0,0,0,0.0,12497908.0,12497908.0,0,inf
1268,96256955,KÖNİGSRASSE,2021-12-09,983,0.0,0,0,0.0,12507077.0,12507077.0,0,inf
1267,96201947,Small JucCy,2021-12-09,1021,0.0,0,0,0.0,12657739.0,12657739.0,0,inf
1266,96277498,K9Nate,2021-12-09,1015,0.0,0,0,0.0,12747992.0,12747992.0,0,inf
1265,96261561,Capo Spartanu,2021-12-09,981,0.0,0,0,0.0,12911512.0,12911512.0,0,inf
1264,97194125,CaptEarl,2021-12-09,967,0.0,0,0,0.0,13042031.0,13042031.0,0,inf
1263,97224201,Lethal Pirate,2021-12-09,951,0.0,0,0,0.0,13265119.0,13265119.0,0,inf
1262,96255103,M3llow JCO,2021-12-09,1005,0.0,0,0,0.0,13385001.0,13385001.0,0,inf
1261,96424810,PirateShinyJack,2021-12-09,1054,0.0,0,0,0.0,13430986.0,13430986.0,0,inf
1260,68138742,乂 Zora 乂,2021-12-09,1085,0.0,0,0,0.0,13661396.0,13661396.0,0,inf
1259,97091387,Chuunin Swag,2021-12-09,918,0.0,0,0,0.0,13684359.0,13684359.0,0,inf
1258,96207548,Interim Name,2021-12-09,1046,0.0,0,0,0.0,13857596.0,13857596.0,0,inf
1257,96378030,KillerX aloneF,2021-12-09,1052,0.0,0,0,0.0,13892883.0,13892883.0,0,inf
1256,97175946,M3llow Khęprį,2021-12-09,965,0.0,0,0,0.0,14044233.0,14044233.0,0,inf
1255,96229112,Nicolau07,2021-12-09,1006,0.0,0,0,0.0,14063179.0,14063179.0,0,inf
1254,95922939,maLdiTa,2021-12-09,945,0.0,0,0,0.0,14180287.0,14180287.0,0,inf
1253,97160911,Miss Chemical,2021-12-09,960,0.0,0,0,0.0,14207951.0,14207951.0,0,inf
1252,96242763,CaptainFelixᴿ,2021-12-09,999,0.0,0,0,0.0,14254303.0,14254303.0,0,inf
1251,95540014,DevinoxD4th,2021-12-09,1220,0.0,0,0,0.0,14325185.0,14325185.0,0,inf
1250,96253426,VceN,2021-12-09,1008,0.0,0,0,0.0,14342269.0,14342269.0,0,inf
1249,96197094,Thor pipaskat,2021-12-09,1035,0.0,0,0,0.0,14378244.0,14378244.0,0,inf
1239,96471500,Psychologyst,2022-01-03,430,5959727.0,738917,5189610,31200.0,14399511.0,15293387.0,606856,2.4161360075721587
1248,7996506,BABY Jolan,2021-12-09,1229,0.0,0,0,0.0,14579687.0,14579687.0,0,inf
1247,26164401,A Coffee God,2021-12-09,1226,0.0,0,0,0.0,14590423.0,14590423.0,0,inf
1246,96256699,M3llow Death,2021-12-09,993,0.0,0,0,0.0,14623814.0,14623814.0,0,inf
1245,96254835,Ashwillmore,2021-12-09,1013,0.0,0,0,0.0,14710625.0,14710625.0,0,inf
1244,96153296,Rømanoff,2021-12-09,932,0.0,0,0,0.0,14716335.0,14716335.0,0,inf
1243,96262558,master758,2021-12-09,1057,0.0,0,0,0.0,14760879.0,14760879.0,0,inf
1242,96259471,M3llow Yami,2021-12-09,978,0.0,0,0,0.0,14877896.0,14877896.0,0,inf
