Governor ID,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
13816815,221,584,2021-11-22,RubbMyNuts,RubbMyNuts,DK38,94615889.0,214438035,-1710534999,4654766,3092867,7778240,143204059,55708103,9472188155,52351,17066767,2584432297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14138612,233,251,2021-11-22,GGerard,GGerard,RR38,90713129.0,279863653,-1227334129,12216726,8027432,11615812,195740195,52263488,20859149200,35295,17548900,3067633167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15984647,310,40,2021-11-22,Ammye 个,Ammye 个,RK38,87705754.0,167104037,-1936230218,2270710,538156,1145136,91037462,72112573,7712014559,161776,11338767,2358737078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16710828,375,846,2021-11-22,xBigWoodx,xBigWoodx,RA38,165491992.0,180050249,-2139216697,20401198,1927935,2072880,97344175,58304061,4569629633,44391,8956621,2155750599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17413785,435,976,2021-11-22,暗 Toxic Arrow,暗 Toxic Arrow,RA38,81805009.0,169520529,-2098403852,3681481,1229533,3709853,103946457,56953205,3755654056,51534,15596740,2196563444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17736681,465,730,2021-11-22,WomBort,WomBort,RR38,105576319.0,213760897,-1431009811,3459758,2536182,4918350,121841237,81005370,6101557848,33012,10507192,2863957485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18373874,503,217,2021-11-22,Executioner AF,Executioner AF,RA38,81087915.0,218237712,-1473677783,7146118,3091684,7156678,123181443,77661789,17983406347,103856,14180322,2821289513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19626853,540,207,2021-11-22,ETHx,ETHx,RR38,101224495.0,228542512,-2017554069,10007965,6471600,18812946,167778337,25471664,10209254744,94427,10298170,2277413227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23896432,701,37,2021-11-22,Alungga,Alungga,RP38,63164326.0,171214823,-2104448873,11163626,4366744,3070570,88500773,64113110,8425802895,36158,9336943,2190518423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34382164,1050,86,2021-11-22,Beast Doc,Beast Doc,RR38,90140439.0,192744526,-1975988589,6945798,5497585,8517987,116314069,55469087,6938150337,35005,10178564,2318978707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
