,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
26,26,2957,2021-12-02,义Rengoku,义Rengoku,10391630,RR38,80665722.0,10588266,1664335978,991412,28076,21051,9547720,7,2966099777,69826,7481045,95815978.0,0.0,-2000000.0,-1000000.0,-2000000.0,-80000000.0,-37906000.0,0.0,0.0
46,46,5194,2021-12-14,义Headhuntr义,义Headhuntr义,1080643,RA38,81299409.0,14709799,929086854,7673500,408646,255058,6371505,1090,9551515869,72565,11177688,67109074.0,19887740.0,-20000000.0,-1000000.0,-3000000.0,-39478762.0,-21465121.0,0.0,6995.0
83,83,5311,2021-12-29,Big Piens Shake,Big Piens Shake,11694371,RA38,74340685.0,23879256,-2030471260,289403,236830,852954,22500060,9,2782728843,31350,8334192,228944136.0,126611081.0,-6949325.0,-4997724.0,-7955179.0,-97195231.0,-44689124.0,0.0,631314.0
131,131,5712,2021-12-29,OnlyFuzZ,OnlyFuzZ,12168629,#N/A,65242032.0,3056193,478921291,78938,39239,75424,2862583,9,2224423701,51865,5629686,29021971.0,25096255.0,-586963.0,-385893.0,-1989799.0,-19290303.0,-11152583.0,15000000.0,486240.0
152,152,2696,2021-12-02,TeeroHPx,TeeroHPx,12507402,#N/A,29681342.0,76508,3411143,8,75898,602,0,0,106349542,10883,2088839,154205.0,0.0,-10.0,75898.0,602.0,-175898.0,-82608.0,0.0,0.0
153,153,3717,2021-12-09,TeeroHPx,TeeroHPx,12507402,#N/A,29681342.0,258524,3411143,18,0,0,175898,82608,106349542,10883,2088839,3411143.0,0.0,10.0,-75898.0,-602.0,175898.0,82608.0,0.0,0.0
201,201,5992,2021-12-29,User 21,User 21,13373896,#N/A,68862352.0,3604655,139878314,2700034,59207,9296,835993,125,1697934874,43701,4097718,9058034.0,2933060.0,-30000000.0,-498515.0,-30000.0,-5944121.0,-3066449.0,0.0,48447.0
206,206,4569,2021-12-14,Lady Manor,Lady Manor,13551576,RR38,60092137.0,35744914,426931782,750294,316200,802626,25457706,8418088,0,15723,5295021,426931782.0,7330950.0,2.0,0.0,0.0,238855.0,247120.0,-5729850776.0,18589.0
230,230,4296,2021-12-14,Bajietong OG,Bajietong OG,14020401,RR38,64016549.0,22672010,237032134,4054643,417723,119220,12681960,5398464,0,52300,5737475,236912134.0,21285858.0,841.0,-59710.0,215.0,716971.0,705727.0,-3139833990.0,55647.0
289,289,4461,2021-12-14,Gaia Kight Chao,Gaia Kight Chao,15800654,Ri38,56018018.0,8007571,97828778,140663,170301,741801,5460328,1494478,16692762907,14631,6476960,87828778.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0
