,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
1795,2022-01-01,Zãnoagã,Zanoaga,10918651,#N/A,37650881.0,2782527.0,14798888.0,1495241.0,6916.0,28422.0,1079114.0,172834.0,7126656481.0,11692.0,824308.0,14674388.0,0.0,0.0,-62250.0,0.0,0.0,0.0,0.0,0.0
1347,2022-01-01,Laokiror,Laokiror,17647992,DK38,35562776.0,30301950.0,141418470.0,15190912.0,2872909.0,1523890.0,8774587.0,1939652.0,0.0,0.0,0.0,141418470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6524629.0
1315,2022-01-01,Katara0304,Katara0304,38821571,]t38,33724463.0,2216147.0,20352445.0,8997.0,51616.0,290966.0,1820781.0,43787.0,51321927.0,10488.0,2472736.0,20352445.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000000.0,0.0
1854,2022-01-01,slayerxoeschapa,slayerxoeschapa,43366078,RP38,40582196.0,4901601.0,56098207.0,217417.0,216971.0,161678.0,3113663.0,1191872.0,562632289.0,21446.0,1923750.0,56098207.0,5301827.0,41594.0,17316.0,164.0,189652.0,168085.0,-20000000.0,119639.0
1425,2022-01-01,Melo 06,Melo 06,55846661,LHrt,41299190.0,6932544.0,43099404.0,1642782.0,9.0,2449868.0,2567824.0,272061.0,1250868378.0,21143.0,2199227.0,41247506.0,0.0,0.0,-925949.0,0.0,0.0,0.0,40000000.0,0.0
1326,2022-01-01,Kira Kira Arina,Kira Kira Arina,62608777,RK38,64403589.0,38882976.0,433892537.0,1725958.0,3185564.0,3470817.0,19671979.0,10828658.0,3168616631.0,21349.0,6031451.0,433892537.0,978890.0,0.0,0.0,0.0,9915.0,43987.0,-200000.0,0.0
1240,2022-01-01,Guan Chau 2,Guan Chau 2,66424168,Rw38,29717622.0,3986467.0,27589367.0,943106.0,385528.0,10520.0,2635865.0,11448.0,3195986682.0,10821.0,617958.0,27589367.0,230590.0,0.0,0.0,0.0,383.0,11338.0,-200.0,0.0
1348,2022-01-01,LaserCannondeth,LaserCannondeth,66506925,KotF,27208984.0,1405.0,319670.0,0.0,0.0,0.0,1405.0,0.0,4154342550.0,2364.0,0.0,14050.0,0.0,0.0,0.0,0.0,-12654.0,-8954.0,0.0,0.0
1309,2022-01-01,Jäzzmine,Jazzmine,67202956,RR38,53099102.0,23393980.0,296189284.0,590633.0,512865.0,414582.0,14413090.0,7462810.0,3080681619.0,129110.0,3096182.0,296189284.0,4904971.0,12365.0,61147.0,15001.0,184498.0,143761.0,-200000.0,59118.0
1433,2022-01-01,Mini Hanie 1,Mini Hanie 1,68760958,Rj38,28375380.0,7374465.0,53883350.0,252490.0,1212879.0,1554806.0,4189793.0,164497.0,13865339008.0,23707.0,1638810.0,53883350.0,0.0,0.0,0.0,0.0,0.0,0.0,-124788051030.0,0.0
1676,2022-01-01,Slayer Zain,Slayer Zain,75075936,RX38,47707551.0,0.0,243003732.0,26797010.0,451490.0,322595.0,19396623.0,2074237.0,8141156966.0,15216.0,2773950.0,243003732.0,0.0,0.0,0.0,0.0,0.0,0.0,8141156966.0,-9.0
