,Governor ID,Name,Ranking,Power,KVK Contrib,PS1,PS2
4,58883891,VikThōr,1,120772665.0,134978282.0,36157174.74092202,36157174.74092161
41,85689750,CałîTheGreat,2,76949321.0,105221780.0,20541091.4751337,20541091.47513368
10,96502129,义Kakaroto义,3,72978692.0,92222679.0,18896258.86393143,18896258.863931447
11,95459238,I am Nerf,4,81119822.0,83975197.104,22262846.29400298,22262846.294002894
0,38232075,Shanewarwolf,5,176282509.0,69335518.0,34337368.83659381,34337368.836595595
76,64115009,Moxina,6,73292420.0,64681091.0,19026183.952425584,19026183.952425607
62,95676399,Jedi Mätty,7,62580872.0,58386028.0,14635657.867248958,14635657.867249072
3,217385,TheRealMimi,8,147094172.0,56495387.0,39715428.47522591,39715428.475225955
81,37239310,diR,9,70806677.0,56109329.0,17997797.340527553,17997797.340527598
31,8042386,Grandpa OG,10,71902444.0,54775819.0,18450794.75419419,18450794.754194222
108,10391630,义Rengoku义,11,63584671.0,54212930.0,15040725.513538722,15040725.513538836
78,64237899,RED SnappER,12,77272367.0,50772370.0,20674813.02263269,20674813.022632662
25,14138612,GGerard,13,73273910.0,49183769.0,19018517.651474554,19018517.65147457
20,63598668,Himurã,14,85558702.0,49173684.0,24076194.507951252,24076194.50795112
57,58442808,HotShotTiger,15,76829729.0,48904458.0,20491578.440395508,20491578.440395486
17,71320446,PABAN,16,97354147.0,46192034.0,28696237.509444088,28696237.50944381
8,3534140,I Am Lazzÿ,17,82648168.0,45491249.956,22890097.630847335,22890097.63084723
42,10327115,Busterblader,18,65193799.0,45481161.0,15693707.594752766,15693707.594752869
7,95676746,Mr Bigfish,19,105048627.0,45070499.0,31460514.016404934,31460514.01640458
37,62739007,คtlคs,20,88726252.0,44338251.0,25350645.825497575,25350645.825497396
105,12782581,LionsR0ar,21,81564075.0,43869763.0,22445436.5175767,22445436.51757661
36,39756277,ALMIGHTY BLACK,22,136533457.0,42883765.028000005,39072326.32972951,39072326.329729274
67,8918322,ARISA OG,23,74410897.0,41978010.0,19489539.830166165,19489539.83016617
146,26254887,BabyPuto,24,59594996.0,41953846.975999996,13442822.797816241,13442822.797816375
50,2796071,xNJx,25,73884693.0,40478770.276,19271523.92899444,19271523.928994454
70,63955350,Flexÿ,26,66418806.0,39190033.0,16193473.208681637,16193473.208681725
99,63932677,mantovinii,27,67320916.0,38319135.0,16562788.705953447,16562788.705953535
215,63737713,Chalder,28,56297737.0,37151012.655999996,12150536.08009055,12150536.0800907
40,66371997,NEBs,29,79370299.0,36218106.0,21542012.987407524,21542012.98740747
136,50114134,Dantss个,30,76079072.0,35673698.0,20180701.547424536,20180701.54742452
156,33305369,乄 Gembel 乄,31,67205295.0,32268342.984,16515398.573122485,16515398.573122568
255,80489423,Vēnomous OG,32,56115615.0,31841418.0,12080027.696238786,12080027.696238937
164,96566351,Vivadiva,33,90168641.0,31766142.0,25924016.907300446,25924016.907300252
73,57141256,FlammA,34,73490381.0,31635561.0,19108178.534002654,19108178.53400267
174,62080073,Kоlуan,35,68402656.0,31242248.0,17006896.482456844,17006896.48245691
19,13816815,RubbMyNuts,36,86975474.0,31230318.0,24648619.217762414,24648619.217762258
209,54378153,fluorin4ek,37,54119233.0,31097287.36,11313726.64085912,11313726.640859274
140,46972060,Yakoo OG,38,67124988.0,30811635.0,16482492.150933662,16482492.150933746
29,63774991,CISILIA,39,83667416.0,30345023.0,23306845.275810633,23306845.27581053
61,59797086,Odysseus シ,40,80218213.0,30097499.0,21891693.728179924,21891693.72817986
82,28618527,父 Crystal 父,41,72353385.0,29803704.024,18637388.125771526,18637388.12577156
5,54977338,Marcusᴳᴺᴳ,42,124394772.0,29495920.0,37008228.58823328,37008228.588232905
110,49911535,Suga 旬,43,75011687.0,29215403.0,19738478.188628424,19738478.18862842
207,19435040,Wings Shin,44,72178305.0,28448674.0,18564932.227016274,18564932.22701631
71,11694371,Big Piens Shake,45,73161072.0,28237970.0,18971785.280224312,18971785.280224334
66,62942972,SonicSuren,46,73068743.0,28171617.0,18933549.254685394,18933549.25468542
232,36397118,乂 HAXOR 乂,47,55307330.0,28120098.276,11768290.124473954,11768290.124474108
165,73551691,a4dani,48,68621725.0,27782845.0,17096985.140744433,17096985.140744504
283,76297693,EzItzOnlyJay,49,50754402.0,27592228.528,10052134.4363492,10052134.436349355
64,18373874,Executioner AF,50,73784785.0,27414703.0,19230134.093826577,19230134.0938266
326,63886129,nail1ÿ,51,46372703.0,27381757.508,8474356.671262091,8474356.671262234
175,52419470,AssAssin A,52,63194650.0,27022400.016,14883118.57523137,14883118.575231487
68,52619890,Sir Rockzo,53,81858225.0,26991942.0,22566219.300618865,22566219.300618775
194,23896432,Alungga,54,60821446.0,26907782.0,13930437.989001337,13930437.989001468
33,15984647,GangstaAmmye个,55,80853494.0,26694539.0,22153289.489367947,22153289.489367872
97,47351877,Valkiara,56,71381764.0,26455662.0,18235460.975785855,18235460.975785892
120,683664,ᴰᴳ TheWall,57,73951502.0,26374873.0,19299202.3502731,19299202.35027311
153,98013414,minero21,58,117970339.0,26274512.0,35433335.758878656,35433335.758878246
429,75888646,BokuToヅ,59,50775810.0,25793914.0,10060032.073302975,10060032.073303131
109,40412748,亗BLS EVIL亗,60,76924102.0,25368993.231999997,20530650.788933262,20530650.788933244
16,3747243,Holdimonster,61,94253538.0,25304157.551999997,27519020.202830005,27519020.20282976
38,58996561,Chrollо,62,123573936.0,25086394.524,36824054.71785305,36824054.71785266
274,67137328,义Anasboi义,63,55048058.0,25028095.784,11668714.941390535,11668714.941390688
55,38132570,Amen0sa,64,75199683.0,24755766.0,19816373.94985677,19816373.94985677
241,51304605,G A M  OG,65,61925318.0,24732721.0,14372154.833367161,14372154.833367283
139,31895462,实意ʚevyɞ,66,63856181.0,24649674.524,15150601.36246668,15150601.362466792
98,39673397,LyoKo,67,74165217.0,24649270.0,19387746.55562581,19387746.555625815
235,52515492,DARK EVIL 亗,68,61833809.0,24589922.708,14335440.581614317,14335440.58161444
250,63013160,Lazy Lýnx,69,58845736.0,24527337.0,13146681.790375741,13146681.790375879
65,11904157,RuKh,70,72267897.0,24395075.0,18602007.852282185,18602007.85228222
53,12877754,Chapo Taco,71,88568032.0,23997760.0,25287465.657277543,25287465.657277375
208,12645110,PʀøHᴀcJJk,72,58340018.0,23973395.004,12947591.736497443,12947591.736497587
102,37732597,IrоnGiant,73,72272309.0,23708954.0,18603833.74271075,18603833.74271078
46,16512590,BerryMuffins,74,67903645.0,23698288.0,16801869.252999213,16801869.25299929
356,67999885,Bubuhan Paculer,75,53218936.0,23502126.0,10972318.057975017,10972318.057975177
184,27082807,M3llow KiNg x,76,57621633.0,23444887.0,12665922.580146706,12665922.580146847
51,16759370,PhyxiÂ,77,75456583.0,23285766.656,19922816.272917982,19922816.27291797
60,33726432,Fallin000,78,82500885.0,23195587.0,22829767.227521326,22829767.22752123
88,46678919,Royal Gazza,79,73895114.0,23137586.0,19275841.222190227,19275841.222190242
237,55086798,Haladîr,80,59156806.0,22916553.0,13269463.301067684,13269463.301067824
494,72969016,Slayer X Jørg,81,43081629.0,22796732.064,7345006.398589439,7345006.398589564
100,28759255,1LimitBreakr,82,69520233.0,22517753.0,17466953.042814996,17466953.042815056
157,59010105,ɳɢʊpɪ OG,83,66111488.0,22433735.031999998,16067899.450296309,16067899.450296396
227,65484538,Battle BEAST,84,56800338.0,22431613.575999998,12345615.46426752,12345615.46426767
216,63615619,Sham Crackers,85,60159359.0,22370496.0,13666774.400459543,13666774.400459677
234,52375803,VARTOLÒ,86,55541397.0,22356108.024,11858362.225751083,11858362.225751238
141,39250773,乂 HYDRA 乂,87,68259638.0,22271805.0,16948108.578774244,16948108.578774314
201,38980106,MOTOROLА,88,62260589.0,22031357.0,14506812.636101957,14506812.636102075
43,77967742,PM Nicha,89,81137074.0,21976889.0,22269940.692192208,22269940.69219213
231,43782411,Omniscient いち,90,55940369.0,21875439.04,12012273.353897184,12012273.353897335
122,33738318,暗丶BRAYAN亗,91,73723690.0,21392747.0,19204824.47388853,19204824.473888543
143,51632421,TimeWizard x,92,67731016.0,21350908.0,16731003.632001491,16731003.632001571
287,76216620,Prоstoy,93,52293803.0,21323813.0,10624357.917398589,10624357.917398745
169,56345194,HunterDemons,94,65726975.0,21175486.0,15910965.347348105,15910965.347348195
44,9957322,Slayer X Aki,95,73905957.0,21133570.0,19280333.361482304,19280333.361482315
291,55874646,NEMOᴹⱽ,96,48633893.0,21014966.0,9278692.642594634,9278692.642594786
27,34382164,Beast Doc,97,84483395.0,20969741.0,23639446.977545075,23639446.977544952
533,95682829,I Am Tea,98,38676758.0,20691816.004,5918965.248700834,5918965.248700913
142,59331015,Kingsummer OG,99,75845590.0,20669745.0,20083981.41795969,20083981.417959683
32,15689544,ᵗᵉᵃTime,100,76734755.0,20649854.276,20452254.417435456,20452254.41743544
178,62946708,Lazy ﾒ Blue,101,64960542.0,20534373.0,15598794.119066292,15598794.119066393
193,16921563,暗丶CaliSham,102,60593723.0,20460944.84,13839640.564012311,13839640.564012444
212,15038629,Ibn E Ijaz,103,59320477.0,20372809.0,13334161.287122544,13334161.28712268
431,62679050,LegendKitoki OG,104,38581089.0,20273561.444000002,5889167.186700831,5889167.186700909
271,25182362,真心 ąđy,105,51664325.0,20174943.032,10389323.346674018,10389323.346674174
