,Governor ID,Name,KVK contrib,Ranking
390,58883891,VikThōr,132478282.0,1
923,85689750,CałîTheGreat,104321780.0,2
1217,96502129,义Kakaroto义,89682679.0,3
1007,95459238,I am Nerf,83975196.0,4
212,38232075,Shanewarwolf,65335518.0,5
533,64115009,Moxina,64441091.0,6
200,37239310,diR,55889329.0,7
810,8042386,Grandpa OG,54775819.0,8
1028,95676399,Jedi Mätty,54386028.0,9
5,10391630,义Rengoku义,54212930.0,10
112,217385,TheRealMimi,52495387.0,11
535,64237899,RED SnappER,50772370.0,12
498,63598668,Himurã,49173684.0,13
40,14138612,GGerard,49103769.0,14
381,58442808,HotShotTiger,47344458.0,15
658,71320446,PABAN,44832034.0,16
191,3534140,I Am Lazzÿ,44350487.0,17
465,62739007,คtlคs,44338251.0,18
29,12782581,LionsR0ar,43869763.0,19
231,39756277,ALMIGHTY BLACK,42663765.0,20
1033,95676746,Mr Bigfish,42250499.0,21
4,10327115,Busterblader,41901161.0,22
960,8918322,ARISA OG,41578010.0,23
137,26254887,BabyPuto,40453844.0,24
148,2796071,xNJx,40438770.0,25
524,63932677,mantovinii,38079135.0,26
570,66371997,NEBs,36198106.0,27
509,63737713,Chalder,36091011.0,28
285,50114134,Dantss个,35673698.0,29
526,63955350,Flexÿ,35190033.0,30
812,80489423,Vēnomous OG,31841418.0,31
1222,96566351,Vivadiva,31766142.0,32
365,57141256,FlammA,31615561.0,33
173,33305369,乄 Gembel 乄,31408441.0,34
38,13816815,RubbMyNuts,31230318.0,35
446,62080073,Kоlуan,30642248.0,36
270,46972060,Yakoo OG,30511635.0,37
406,59797086,Odysseus シ,30097499.0,38
328,54378153,fluorin4ek,30060291.0,39
511,63774991,CISILIA,29505023.0,40
331,54977338,Marcusᴳᴺᴳ,29335920.0,41
151,28618527,父 Crystal 父,29283704.0,42
283,49911535,Suga 旬,29215403.0,43
93,19435040,Wings Shin,28448674.0,44
14,11694371,Big Piens Shake,28237970.0,45
472,62942972,SonicSuren,28171617.0,46
678,73551691,a4dani,27602845.0,47
87,18373874,Executioner AF,27374703.0,48
307,52619890,Sir Rockzo,26991942.0,49
517,63886129,nail1ÿ,26959896.0,50
53,15984647,GangstaAmmye个,26694539.0,51
196,36397118,乂 HAXOR 乂,26520098.0,52
303,52419470,AssAssin A,26502400.0,53
608,683664,ᴰᴳ TheWall,26374873.0,54
273,47351877,Valkiara,25755662.0,55
710,75888646,BokuToヅ,25293914.0,56
124,23896432,Alungga,25276742.0,57
441,61954227,Lazy Dark,25055733.0,58
588,67137328,义Anasboi义,24762530.0,59
211,38132570,Amen0sa,24755766.0,60
236,40412748,亗BLS EVIL亗,24750347.0,61
18,11904157,RuKh,24395075.0,62
1275,98013414,minero21,24174512.0,63
330,54912695,メFeldjager,24156839.0,64
28,12645110,PʀøHᴀcJJk,23953395.0,65
227,39673397,LyoKo,23829270.0,66
728,76297693,EzItzOnlyJay,23766721.0,67
206,37732597,IrоnGiant,23708954.0,68
305,52515492,DARK EVIL 亗,23589600.0,69
393,58996561,Chrollо,23551186.0,70
603,67999885,Bubuhan Paculer,23382126.0,71
61,16512590,BerryMuffins,23298288.0,72
171,31895462,实意ʚevyɞ,23245304.0,73
66,16759370,PhyxiÂ,23205765.0,74
269,46678919,Royal Gazza,23137586.0,75
332,55086798,Haladîr,22896553.0,76
174,33726432,Fallin000,22895587.0,77
204,3747243,Holdimonster,22424157.0,78
153,28759255,1LimitBreakr,22377753.0,79
394,59010105,ɳɢʊpɪ OG,22273735.0,80
221,39250773,乂 HYDRA 乂,22271805.0,81
140,27082807,M3llow KiNg x,21784887.0,82
256,43782411,Omniscient いち,21775439.0,83
302,52375803,VARTOLÒ,21716108.0,84
761,77967742,PM Nicha,21516889.0,85
673,72969016,Slayer X Jørg,21369477.0,86
297,51632421,TimeWizard x,21290908.0,87
357,56345194,HunterDemons,21175486.0,88
217,38980106,MOTOROLА,21031357.0,89
1283,9957322,Slayer X Aki,21013570.0,90
185,34382164,Beast Doc,20969741.0,91
723,76216620,Prоstoy,20823813.0,92
294,51304605,G A M  OG,20732721.0,93
1058,95682829,I Am Tea,20691816.0,94
400,59331015,Kingsummer OG,20669745.0,95
348,55874646,NEMOᴹⱽ,20634966.0,96
48,15689544,ᵗᵉᵃTime,20609854.0,97
176,33738318,暗丶BRAYAN亗,20592747.0,98
475,63013160,Lazy Lýnx,20527337.0,99
42,15038629,Ibn E Ijaz,20372809.0,100
473,62946708,Lazy ﾒ Blue,20334373.0,101
128,25182362,真心 ąđy,20160271.0,102
70,16921563,暗丶CaliSham,20060944.0,103
554,65484538,Battle BEAST,20038633.0,104
30,12877754,Chapo Taco,19997760.0,105
241,41086563,Dårth Invader,19955481.0,106
835,81772415,Sytore亗,19781340.0,107
610,68543872,DHAFIR OG,19578161.0,108
1116,96201962,Bobö,19263782.0,109
681,73870935,DaProd,19164208.0,110
377,58216523,Legend ReX,18883220.0,111
16,11749129,mustachride,18685301.0,112
399,59324361,Bōt,18507477.0,113
81,17736708,GangstaMaruDGAF,18488561.0,114
500,63615619,Sham Crackers,18370496.0,115
527,63968661,Radnaxi,18319861.0,116
232,39759597,MadPharoh,18227364.0,117
739,7681587,AndrewB2000,18214471.0,118
235,40299040,㋛Marreta Preta㋛,18210340.0,119
90,19004552,I BlackHeart I,18169547.0,120
629,6960423,Mmarsh,18040748.0,121
462,62679050,LegendKitoki OG,17993560.0,122
743,76923099,daNny,17916816.0,123
439,61944693,Fist me Daddy,17904071.0,124
530,64044209,tailor p,17683938.0,125
1047,95678399,裁决Blade,17611797.0,126
387,58810130,MongD2,17429929.0,127
85,17854556,JOLAN,17314788.0,128
479,63119959,FirestormV,17226581.0,129
697,75144155,Izzy 永,17124853.0,130
195,36145615,BDGㅊHR Habib,17097492.0,131
162,30236269,MarvNNN591,17076783.0,132
782,79498103,I M StoneBank,16995524.0,133
65,16710828,xBigWoodx,16939852.0,134
928,85825206,Cram337,16820873.0,135
703,75522322,ミBee Chill彡,16807009.0,136
7,10806254,BEP 1,16794677.0,137
8,1080643,义Headhuntr义,16734177.0,138
