,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
10,10,4767,2021-12-14,Pochemuchka,Pochemuchka,10154350,RR38,73629949.0,4191967,681501261,30236016,2277182,5500106,43023149,10566374,7903333860,76262,6901099,674160961.0
26,26,2957,2021-12-02,义Rengoku,义Rengoku,10391630,RR38,80665722.0,10588266,1664335978,991412,28076,21051,9547720,7,2966099777,69826,7481045,95815978.0
46,46,5194,2021-12-14,义Headhuntr义,义Headhuntr义,1080643,RA38,81299409.0,14709799,929086854,7673500,408646,255058,6371505,1090,9551515869,72565,11177688,67109074.0
83,83,5311,2021-12-29,Big Piens Shake,Big Piens Shake,11694371,RA38,74340685.0,23879256,2264496036,289403,236830,852954,22500060,9,2782728843,31350,8334192,228944136.0
131,131,5712,2021-12-29,OnlyFuzZ,OnlyFuzZ,12168629,#N/A,65242032.0,3056193,478921291,78938,39239,75424,2862583,9,2224423701,51865,5629686,29021971.0
152,152,2696,2021-12-02,TeeroHPx,TeeroHPx,12507402,#N/A,29681342.0,76508,3411143,8,75898,602,0,0,106349542,10883,2088839,154205.0
201,201,5992,2021-12-29,User 21,User 21,13373896,#N/A,68862352.0,3604655,139878314,2700034,59207,9296,835993,125,1697934874,43701,4097718,9058034.0
230,230,4296,2021-12-14,Bajietong OG,Bajietong OG,14020401,RR38,64016549.0,22672010,237032134,4054643,417723,119220,12681960,5398464,0,52300,5737475,236912134.0
289,289,4461,2021-12-14,Gaia Kight Chao,Gaia Kight Chao,15800654,Ri38,56018018.0,8007571,97828778,140663,170301,741801,5460328,1494478,16692762907,14631,6476960,87828778.0
400,400,2977,2021-12-02,暗 Winter,暗 Winter,16908012,RA38,104224325.0,95425311,1446682329,8468025,56078,41932,7748786,79110490,5320303579,80963,14645126,1661671149.0
451,451,5401,2021-12-29,Dixie  Normous,Dixie  Normous,17539883,Hp38,40126455.0,1090288,72002279,9446,814,3753,163375,912900,10228260863,17599,2967714,19910279.0
480,480,2830,2021-12-02,sh3rl0ck,sh3rl0ck,17742942,RP38,83678638.0,4909523,739661678,688514,811297,499178,2906315,4219,2691249453,53607,6139902,32904538.0
561,561,4513,2021-12-14,IamGilbo,IamGilbo,20462120,RK38,77862833.0,15004783,1538828091,6308558,973252,957749,6765160,64,2263900621,119420,6814509,74692091.0
611,611,2044,2021-12-02,Azalynz DG AF,Azalynz DG AF,21463108,RK38,88353989.0,4464535,749365879,81577,538604,135609,3707746,999,11309486899,222889,7985918,38733399.0
659,659,2101,2021-12-02,CAP 117,CAP 117,22505871,RR38,114633036.0,9639985,1017507903,49879,484513,81118,9024475,0,4483666763,194387,10785375,91548223.0
893,893,5161,2021-12-14,くˢᶜᵃʳʸ,くsᶜaʳy,29489887,RR38,68798978.0,7111258,268965307,84716,57420,79956,6889164,2,5502524456,50230,4478148,69343287.0
899,899,4476,2021-12-14,HAYzOM,HAYzOM,29587991,RK38,62590126.0,3717096,448401615,434696,54756,871981,2139602,216061,2284685873,68329,4729133,29401615.0
933,933,2136,2021-12-02,Crystål,Crystal,30844064,RH38,35348659.0,1169699,9808354,55507,282026,804118,26029,2019,0,8350,471980,4092295.0
984,984,6185,2021-12-29,乄 Gembel 乄,乄 Gembel 乄,33305369,RK38,64216502.0,5815479,765733898,139471,48507,190650,5436851,0,1420413311,83992,5647064,55256018.0
1097,1097,5115,2021-12-14,ĴØЌÉŔR,JOЌERR,35538798,RR38,65233794.0,1786171,871225056,0,146103,166002,1474057,9,3112881110,90308,7210425,15696964.0
1115,1115,5180,2021-12-14,乂 HAXOR 乂,乂 HAXOR 乂,36397118,RR38,61111807.0,3493429,757034966,853751,769360,749484,1120718,116,13770293726,110024,6054204,15916906.0
1139,1139,5046,2021-12-14,diR,diR,37239310,RR38,80066605.0,19791937,1864830306,2597081,661443,459346,6553058,9521009,6691364958,61621,7067332,259630446.0
