,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
0,0,389,2021-11-22,LiarsV,LiarsV,0,RP38,32040216.0,10643174,74351106,1153881,1216452,2075289,6056477,141075,234949535,12087,598531
328,328,4111,2021-12-09,Mjǫlnir,Mjolnir,16155630,Rw38,22524956.0,322745,1743980,20560,88697,95401,118087,0,326705964,3544,386286
509,509,830,2021-11-22,stoned farm 6,stoned farm 6,18401805,F38N,24241485.0,2474112,18269470,995281,64,144,1150275,328348,1276326042,6054,2898587
608,608,3997,2021-12-09,12belaguks,12belaguks,21361332,Rt38,23938252.0,1235767,12376290,1953,1190,3835,1221760,7029,7136233269,4510,547965
609,609,1669,2022-01-01,Slayer X Rakay,Slayer X Rakay,21362209,RX38,25332157.0,1750813,17554832,2403,9455,1388,1722145,15422,7882349584,4586,646166
664,664,4072,2021-12-09,LAAMO,LAAMO,22634309,Rw38,20577204.0,0,0,0,0,0,0,0,40028571,4463,123685
749,749,4197,2021-12-09,UKnowWho,UKnowWho,25538500,Rw38,6345505.0,5144,50948,0,0,82,5062,0,937772,2738,36439
768,768,4000,2021-12-09,A Coffee God,A Coffee God,26164401,Rt38,14590423.0,186767,1208861,41007,32829,6983,101189,4759,228357445,6944,360820
1333,1333,647,2021-11-22,SoujiroLEE,SoujiroLEE,4,RN38,31166323.0,2225935,27237865,73996,75701,245551,1052428,778259,7790340226,13074,2552451
1352,1352,4045,2021-12-09,Habib123ka4,Habib123ka4,40448251,Rw38,22737576.0,2276045,15774067,738087,709022,20784,203777,604375,9504240260,7563,119500
1423,1423,2858,2021-12-02,zeusS09,zeusS09,42989323,roah,24927180.0,577657,6784973,5677,586,2124,461123,108147,13191107625,14671,198792
1581,1581,861,2021-11-22,ɢɢ Candyrain,ɢɢ Candyrain,49137996,Rv38,24666703.0,792921,8402637,4478,21578,53464,612329,101072,3515164368,5363,1141975
1899,1899,698,2021-11-22,Tsunade     WTF,Tsunade     WTF,55133103,,24440943.0,2245139,22411007,113436,257921,40197,1496001,337584,1693055003,9250,3080534
1906,1906,3998,2021-12-09,4Zinc,4Zinc,55157892,Rw38,18169899.0,245318,2456749,3719,14448,22560,175495,29096,4941781093,3033,2232648
1995,1995,404,2021-11-22,LuffyLikePuffy,LuffyLikePuffy,56189359,F38s,24312907.0,1991615,9809379,427797,795039,162583,464051,142145,358639953,5989,811877
2121,2121,709,2021-11-22,Valkilittl,Valkilittl,58137034,F38Y,24084935.0,1055855,6172652,391503,13192,118517,505896,26747,5357266838,6011,2725825
2210,2210,4083,2021-12-09,M3llow Empress,M3llow Empress,58920386,Ri38,21834568.0,534319,5877565,20337,9154,6955,413009,84864,3394092905,5894,1279537
2263,2263,4228,2021-12-09,ᵈᶦʳᵗʸZA,dIʳᵗyZA,59373607,Rw38,19286808.0,8643329,23628561,1561477,3891127,2752923,423372,14430,5195368930,14171,1307855
2585,2585,986,2021-11-22,自由ㅅ 小怪,自由ㅅ 小怪,62458819,,24660511.0,221761,996005,7308,108619,58359,40563,6912,1784581346,5497,183650
2840,2840,4222,2021-12-09,ÃquaBöťòĺ,AquaBotol,63622109,Rw38,23363090.0,4441847,41733648,123192,606064,263343,2954145,495103,157290000,11929,2006904
3311,3311,4234,2021-12-09,亗㋡PirateSTEVE,亗㋡PirateSTEVE,67069422,Rt38,19954632.0,309509,2656548,18421,10055,29596,251437,0,1459830335,5391,295503
3444,3444,4232,2021-12-09,乂 Zora 乂,乂 Zora 乂,68138742,Rw38,13661396.0,2196093,6190286,649963,1025104,238589,259301,23136,107087051,18338,152198
3802,3802,4048,2021-12-09,Hector133,Hector133,72557634,Rw38,23332095.0,59602,502982,2764,4217,5369,47252,0,3600000,4482,37791
3915,3915,4008,2021-12-09,BFLO,BFLO,74504631,Rt38,16359915.0,1814217,10483730,221713,563560,191962,819522,17460,480754560,6333,317340
3916,3916,4105,2021-12-09,Master Tèo,Master Teo,74522049,Rw38,19346863.0,5783841,15784698,1580883,2293677,1368607,540674,0,3554476772,11126,348224
3986,3986,146,2021-11-22,Chrollo 2,Chrollo 2,75596898,RE38,24504197.0,854557,8125921,104349,18923,27239,612267,91779,5176863263,21138,642299
4005,4005,4217,2021-12-09,pirate omponG,pirate omponG,75881042,Rt38,23510047.0,3106308,25704064,214204,258813,563947,1849907,219437,650129980,24349,1206954
4018,4018,4133,2021-12-09,Pirate POPEYEラ,Pirate POPEYEラ,76023324,Rt38,22951183.0,1838436,14364279,286549,203500,85610,1169801,92976,281497308,18553,1517132
4178,4178,4089,2021-12-09,M3llow Izzy x,M3llow Izzy x,76856995,Ri38,24430971.0,0,24787745,0,0,0,0,0,2607869292,3237,1849766
4203,4203,4063,2021-12-09,KangBakso471,KangBakso471,77415864,Rw38,16773997.0,1258581,9498119,28665,61484,385817,782615,0,482163230,3080,383310
4210,4210,819,2021-11-22,rjmb,rjmb,77529769,GSA3,24352725.0,1670891,17019393,11765,72135,135710,1269569,181712,1453049879,6953,1328345
4251,4251,4032,2021-12-09,DjieSamSoee,DjieSamSoee,77771007,Rw38,22101422.0,8893068,42489510,3536343,872629,1225846,3003140,255110,1413451556,9806,2687128
4292,4292,4141,2021-12-09,Pirate cimut,Pirate cimut,78405318,Rt38,23484031.0,12344162,86189899,1711509,2168696,1273854,6738727,451376,7295524186,30873,2537044
4328,4328,4214,2021-12-09,nhàtaocóTV,nhataocoTV,78825352,Rw38,24983065.0,2055282,19005739,308237,140630,62518,1246518,297379,60382203,8658,2461869
4329,4329,4162,2021-12-09,Slayer LegionX,Slayer LegionX,78844814,RX38,22727814.0,4247186,27573745,408007,684502,953690,2171136,29851,204505220,4866,1186625
4440,4440,4007,2021-12-09,BABY Jolan,BABY Jolan,7996506,Rw38,14579687.0,215554,2262510,0,0,0,204857,10697,3292887206,5968,424046
4444,4444,4157,2021-12-09,S P L l F F,S P L l F F,80093965,Rw38,21892031.0,1087500,8060414,239923,34380,32870,779435,892,3340201249,7957,345381
4445,4445,4108,2021-12-09,Millzz,Millzz,80104536,Ri38,18372473.0,816386,3838074,232982,209907,60551,312946,0,123175207,7478,70477
4464,4464,4138,2021-12-09,Pirate Wiz,Pirate Wiz,80223861,Rt38,19775359.0,415921,968513,120067,199189,70088,26577,0,49032540,8793,14677
4489,4489,4144,2021-12-09,PirateDickHead,PirateDickHead,80309379,Rt38,17851996.0,4872163,24679246,850751,1409832,958843,1520068,132669,193547163,7202,1386162
4545,4545,4148,2021-12-09,Pirate۞Gypsy,Pirate۞Gypsy,80699071,Rt38,19043446.0,2237103,13386200,451832,525698,204697,967187,87689,335612783,13813,936978
4576,4576,4122,2021-12-09,Newbie 26H,Newbie 26H,81006115,Rt38,23564189.0,7351206,39776562,1588134,1518473,1670660,2173943,399996,5449079550,14009,2336838
4669,4669,4094,2021-12-09,M3llow Saksa,M3llow Saksa,82311998,Ri38,22342292.0,1159942,8644795,249579,61041,59327,756441,33554,101959053,10267,383270
4752,4752,4225,2021-12-09,ᴮᴰᴳÇimut,ᴮDᴳCimut,83429851,Rw38,23474694.0,4013870,24088058,381680,1030365,736803,1829666,35356,4550423483,24545,272898
4810,4810,4206,2021-12-09,belaguu,belaguu,83636766,Rw38,9633111.0,525573,1036046,167371,316400,8848,32470,484,2140381547,6580,154268
4882,4882,4038,2021-12-09,Fairy Tough,Fairy Tough,84184533,Ri38,23729556.0,1546301,11748358,50652,283344,476880,544448,190977,0,0,0
4895,4895,4153,2021-12-09,ReignTwo,ReignTwo,84449449,Ri38,24039588.0,11649987,81865008,2555060,1454971,1555951,4945985,1138020,501805454,20164,1808222
4934,4934,4002,2021-12-09,ACHRAF 07,ACHRAF 07,84480956,Ri38,22984124.0,2179301,24588423,111536,86236,76391,1401468,503670,134713241,10133,1211503
4964,4964,4210,2021-12-09,liloliks,liloliks,84500039,Ri38,22448086.0,1719100,14677224,98511,254199,240946,932354,193090,28907789,12292,568308
4989,4989,3999,2021-12-09,711 pirate,711 pirate,84665686,Rt38,23736870.0,1673032,15065274,135451,150505,154951,1052513,179612,963996068,5850,426637
4990,4990,4167,2021-12-09,Slayer X Yan,Slayer X Yan,84721426,RX38,18027462.0,509900,4294544,61123,135752,50549,144090,118386,53535571,3104,1212630
5077,5077,4205,2021-12-09,ZAFAZ,ZAFAZ,85445513,Ri38,23842857.0,639526,5032603,175737,25681,46196,307693,84219,93752481,6288,122598
5202,5202,4010,2021-12-09,BU Kelly,BU Kelly,86518330,Ri38,24995737.0,1383940,10659582,181080,186702,160868,749931,105359,38612418,11666,427632
5215,5215,4053,2021-12-09,JUANJO1,JUANJO1,86732270,Rw38,17935883.0,263698,2537292,31,4587,10448,248632,0,50087259,5370,111556
5259,5259,4190,2021-12-09,TikkaT3,TikkaT3,88028769,Rt38,23144849.0,7734350,17989130,3629621,1712945,1779779,552190,59815,299372791,11644,429621
5260,5260,4004,2021-12-09,Aom2564,Aom2564,88096540,Rw38,20317337.0,5810892,26055068,1098733,1979759,945706,1764090,22604,28497748,11495,764832
5301,5301,4152,2021-12-09,R  E P L A Y,R  E P L A Y,89230814,RP38,23968971.0,8453354,60606360,1259742,791536,1110530,5150170,141376,127444213,14751,902527
5308,5308,831,2021-11-22,supersim,supersim,89422675,PB38,23778176.0,10160552,61660274,1538133,2531210,1587462,4013456,490291,3721304954,27013,1813050
5320,5320,4159,2021-12-09,Serito Кun,Serito Кun,89921027,Rt38,20139307.0,6832870,26227330,966940,2013244,2874171,905953,72562,309677954,4847,1098081
5372,5372,4127,2021-12-09,Paperkylla,Paperkylla,90935992,Rw38,15853170.0,356426,673231,113669,189965,42892,9900,0,441807315,5073,63992
5373,5373,4199,2021-12-09,Valkyrie Valara,Valkyrie Valara,90940423,Rw38,10585390.0,502624,1178939,111277,311258,64037,4302,11750,25149039,8029,419180
5374,5374,4070,2021-12-09,Kreeholio,Kreeholio,90945690,Rw38,16874998.0,109865,485276,25014,37208,11912,35641,90,9836836,5418,6821
5375,5375,4155,2021-12-09,RoyParker,RoyParker,90952973,Rw38,21756008.0,3598501,12460250,660143,1480506,878815,572879,6158,15507798,7359,528367
5382,5382,4027,2021-12-09,DZ  亗  HUNTER,DZ  亗  HUNTER,91324773,Rt38,19004072.0,2303629,11708866,218471,842143,465624,742943,34448,0,0,0
5383,5383,4236,2021-12-09,ꜰᴜɴᴋ シ,ꜰᴜɴᴋ シ,91345871,RP38,24067242.0,5470283,35552039,839327,1291857,770810,2164856,403433,279473870,24132,867738
5397,5397,4237,2021-12-09,Ｆ Ｕ Ｒ Ｙ,Ｆ Ｕ Ｒ Ｙ,91404607,Ri38,23421122.0,2844064,24958551,231386,419130,215306,1635205,343037,171485666,27364,562725
5465,5465,4143,2021-12-09,Pirate Ørń,Pirate Orn,94267350,Rt38,20753668.0,402817,3344834,2944,65781,24046,308442,1604,27363263,10328,11865
5466,5466,4035,2021-12-09,EDlT NICKNAME,EDlT NICKNAME,95303176,Rw38,21639454.0,3083158,10370055,1016588,823132,728746,468835,45857,6123589,6437,980840
5473,5473,4013,2021-12-09,BatuhanSahinn,BatuhanSahinn,95337325,Rt38,20125037.0,368870,2418675,30109,115847,8030,214884,0,0,5713,2063
5474,5474,4164,2021-12-09,Slayer X RexRie,Slayer X RexRie,95370607,RX38,19234997.0,2161690,8487038,525393,809538,312686,476932,37141,49903552,28447,100159
5475,5475,4189,2021-12-09,Thê Jøkęr,The Joker,95382558,RX38,23489322.0,4561733,16744138,1787353,710860,976657,1067894,18969,118935327,13502,154466
5476,5476,4128,2021-12-09,Pierrot CEO,Pierrot CEO,95413495,Ri38,23658549.0,8546268,54470258,1322950,1664559,1475975,3668303,414481,6753517,49922,263319
5477,5477,4076,2021-12-09,M3llow 5010m0n,M3llow 5010m0n,95449096,Ri38,20873850.0,1563185,8333128,232643,447872,262264,606632,13774,182180182,24589,107750
5484,5484,4029,2021-12-09,Dark PİRATE メ,Dark PIRATE メ,95473038,Rt38,19063416.0,10261336,53516940,1491332,3165678,1881017,3510293,213016,119783663,21882,812221
5485,5485,4121,2021-12-09,MrFreewind,MrFreewind,95476219,RP38,24233924.0,1039917,8478977,45139,304059,29188,548554,112977,73921970,13578,317899
5495,5495,4031,2021-12-09,DevinoxD4th,DevinoxD4th,95540014,Rw38,14325185.0,4153529,19651844,555024,1222686,1199717,1122544,53558,4800000,4174,148889
5524,5524,477,2021-11-22,Ms Revane,Ms Revane,95667881,,24473598.0,3913914,25574016,290320,802049,1071066,1538199,212280,251451079,13957,1104444
5549,5549,4056,2021-12-09,Jounin Lima0128,Jounin Lima0128,95676117,RK38,17697983.0,2359990,10090617,303579,839699,662171,538900,15641,2523812,10367,210862
5554,5554,4126,2021-12-09,PapaZiggᴿᴬ,PapaZiggRᴬ,95676360,RA38,22957473.0,2408170,14440560,467170,511435,330204,998378,100983,85080006,17697,168454
5561,5561,4218,2021-12-09,pirate snowman,pirate snowman,95676492,Rt38,15589610.0,922782,6286312,185371,85990,144292,464249,42880,116492782,18554,66590
5568,5568,69,2021-11-22,Baby Lieber,Baby Lieber,95676651,RP38,45041090.0,20580167,175007570,2861810,2048630,1332112,12174280,2163335,979762068,31808,725673
5569,5569,4040,2021-12-09,FîshGold,FishGold,95676696,Rt38,20893626.0,5082135,24948153,1223089,1887883,297870,1372957,300336,370800003,17209,626538
5591,5591,4041,2021-12-09,GWENDOLYN POOLE,GWENDOLYN POOLE,95677106,RP38,22300236.0,3323190,31324327,149016,119121,340598,2459521,254934,47568911,11504,375801
5627,5627,4065,2021-12-09,Killer BKBL4Z3,Killer BKBL4Z3,95678108,Rt38,18840274.0,152390,681824,49672,49856,227,48143,4492,0,0,0
5628,5628,4112,2021-12-09,Mr DrAkEnN,Mr DrAkEnN,95678322,RP38,18552634.0,3396801,25675432,508550,562865,228443,1840464,256479,43496196,33930,318310
5635,5635,4220,2021-12-09,xPokerPQ,xPokerPQ,95678464,RX38,22723589.0,1341363,13370341,82286,47885,127456,892643,191093,221841177,26763,84428
5636,5636,4204,2021-12-09,Your Lil Donutz,Your Lil Donutz,95678848,RA38,21948022.0,5312968,29140842,2092314,332331,771687,1736175,380461,119536723,16392,491107
5655,5655,4120,2021-12-09,MrChunkiebean,MrChunkiebean,95680832,RP38,21735443.0,4805606,23212883,2285795,104606,434203,1881034,99968,98057678,13160,327126
5665,5665,4194,2021-12-09,Trooper Shinyai,Trooper Shinyai,95682056,Rw38,18782442.0,3343318,22272212,255413,594376,728637,1718001,46891,49520728,7087,312457
5675,5675,4058,2021-12-09,Jounin Storm,Jounin Storm,95698763,RK38,17781693.0,2341705,6799009,407978,1230829,466489,233838,2571,4400000,8923,14387
5682,5682,4003,2021-12-09,Anbu Kyando,Anbu Kyando,95808013,RK38,9616883.0,830721,2929599,131257,288137,306261,99929,5137,60878945,5754,205623
5689,5689,4226,2021-12-09,ᴳᴳ Ana,ᴳᴳ Ana,95833977,RP38,22569803.0,4179432,36892592,195971,357160,305797,3149419,171085,131511985,17284,350281
5696,5696,4212,2021-12-09,maLdiTa,maLdiTa,95922939,RP38,14180287.0,835922,6446428,31583,148988,125989,494906,34456,7287915,12843,53820
5697,5697,4012,2021-12-09,Baby Ravenx,Baby Ravenx,95936756,RX38,20739982.0,8255531,61714014,720091,1566499,733507,4920571,314863,26563649,10232,313586
5701,5701,4163,2021-12-09,Slayer X Lukob,Slayer X Lukob,96006500,RX38,20595042.0,3015891,22650453,361608,547183,262014,1646601,198485,120654672,22765,395773
5705,5705,4064,2021-12-09,KannaK0bayashi,KannaK0bayashi,96008726,RP38,17835937.0,135485,5721226,7713,30678,527,94098,2469,83831078,9764,145774
5706,5706,4060,2021-12-09,JouninﾒH1R4Mﾒ,JouninﾒH1R4Mﾒ,96025702,RP38,24352071.0,2544635,20084786,288822,183183,403714,1533252,135664,44537691,33176,118260
5707,5707,4192,2021-12-09,Trooper Cacimo,Trooper Cacimo,96053409,RX38,23101990.0,2241284,17659636,239740,369551,135934,1359233,136826,178520781,17778,304834
5708,5708,4086,2021-12-09,M3llow FatChub,M3llow FatChub,96054558,Ri38,16578512.0,1434418,11255495,146435,161978,192223,854228,79554,92394389,12162,111007
5715,5715,4078,2021-12-09,M3llow Adam,M3llow Adam,96057102,Ri38,19694428.0,847099,6293607,25428,81596,266280,441569,32226,67835204,4675,227297
5725,5725,4033,2021-12-09,Dr AnderStrange,Dr AnderStrange,96104411,Rw38,15928928.0,2217369,6556224,531480,1164491,186794,331831,2773,22495618,5445,344725
5744,5744,4149,2021-12-09,Princess Avalie,Princess Avalie,96126999,Rt38,11257225.0,619651,1606072,178832,228101,168846,43872,0,1200000,14910,258312
5745,5745,4130,2021-12-09,Pirate Cyclöne,Pirate Cyclone,96128033,Rt38,17740087.0,2164679,8643370,1197843,119170,99618,719397,28651,13370315,22803,146896
5746,5746,4114,2021-12-09,Mr Pëppër,Mr Pepper,96130927,RP38,16806258.0,6648709,29632232,1025070,2690078,1153753,1616411,163397,100476389,13122,431486
5750,5750,4049,2021-12-09,Here Cums Elmo,Here Cums Elmo,96131574,Rw38,21837340.0,1249455,6609836,325693,284185,126222,479566,33789,1693062,6561,27110
5751,5751,4132,2021-12-09,Pirate McStouty,Pirate McStouty,96139324,Rt38,21611455.0,427617,4247788,25593,56149,8703,264788,72384,0,0,0
5752,5752,4079,2021-12-09,M3llow Airumi,M3llow Airumi,96140979,Ri38,21759323.0,495551,2808812,40033,126324,130127,195369,3698,156913210,19764,87559
5753,5753,4020,2021-12-09,CaptJackShadow,CaptJackShadow,96143916,Rt38,21390646.0,5087651,30434831,711257,1157650,776505,2397352,44887,277872613,30938,535685
5754,5754,4124,2021-12-09,Nāyeon,Nayeon,96148458,RP38,18169818.0,949823,7309249,107356,145785,116682,507052,72948,269583902,11504,395590
5755,5755,4156,2021-12-09,Rømanoff,Romanoff,96153296,Rw38,14716335.0,1295445,9574098,66864,180495,283184,723104,41798,38199999,9395,180433
5756,5756,4006,2021-12-09,Aşhu Maşhu,Ashu Mashu,96161791,Ri38,16917749.0,2703339,6513088,2069211,36197,40493,528388,29050,40418901,13123,99178
5761,5761,4016,2021-12-09,Boss Paperkylla,Boss Paperkylla,96167374,Rw38,18499823.0,1164965,6494613,133357,322101,262265,417016,30226,96389599,14199,144334
5762,5762,4092,2021-12-09,M3llow Rod,M3llow Rod,96170888,Ri38,19672422.0,972612,5653243,152119,276670,91475,434338,18010,82141072,11448,112464
5766,5766,4117,2021-12-09,Mr neGspoD,Mr neGspoD,96176549,RP38,17411828.0,2821177,17335694,532622,427865,487005,1304828,68857,0,0,0
5777,5777,638,2021-11-22,Small REnAR,Small REnAR,96191138,,24313529.0,5609363,35326577,522429,1243137,1362557,2233921,247319,167142427,26880,277583
5783,5783,4186,2021-12-09,TINApie,TINApie,96195262,RP38,18243499.0,4330653,15097592,2730123,160582,226551,1094374,119023,129494430,42441,141185
5784,5784,4098,2021-12-09,M3llow Touch,M3llow Touch,96195946,Ri38,17459623.0,3538100,20850823,603039,782792,467533,1640022,44714,3385513,8210,26202
5791,5791,4188,2021-12-09,Thor pipaskat,Thor pipaskat,96197094,Rw38,14378244.0,592918,1760634,198591,273461,6756,113523,587,559416,5308,53510
5792,5792,4104,2021-12-09,M3llows Thorgir,M3llows Thorgir,96197563,Ri38,20330753.0,2708816,12065165,637155,833485,355301,880794,2081,82639644,8352,186607
5803,5803,4067,2021-12-09,Killer X Marco,Killer X Marco,96199430,RX38,6646280.0,614932,3726138,68610,116609,153842,265359,10512,1796084,4283,147231
5807,5807,4052,2021-12-09,IronMan z4,IronMan z4,96200949,Rw38,16762456.0,1849575,4314311,445089,808533,558907,36832,214,123157634,7039,509552
5808,5808,4088,2021-12-09,M3llow IFF,M3llow IFF,96201419,Ri38,17314375.0,734053,3703883,120787,242589,92332,274168,4177,16177937,3641,262683
5809,5809,4176,2021-12-09,Small JucCy,Small JucCy,96201947,Rw38,12657739.0,2876874,11777837,544799,1026483,615888,664172,25532,4800000,5415,217084
5816,5816,4101,2021-12-09,M3llow W44RD,M3llow W44RD,96204359,Ri38,18191864.0,902567,3793670,168032,251236,274493,201650,7156,8091677,14204,33215
5825,5825,4051,2021-12-09,Interim Name,Interim Name,96207548,Rt38,13857596.0,297569,881829,91835,125900,31113,48721,0,37268948,7157,55140
5832,5832,809,2021-11-22,nøødle,noodle,96212053,RE38,23994040.0,5628139,28763473,2380308,323628,418204,2415264,90735,815502143,25801,212108
5833,5833,4066,2021-12-09,Killer Riaz,Killer Riaz,96212776,Rt38,16135532.0,1724109,7617318,183384,480064,707061,327973,25627,1301958,3142,372812
5834,5834,4107,2021-12-09,Midlánèr,Midlaner,96214090,RX38,16474125.0,6072860,26783984,1391193,2140734,713677,1717555,109701,82069947,13161,175530
5835,5835,4174,2021-12-09,Slàyer X Uchí,Slayer X Uchi,96214479,RX38,17664241.0,4457090,20629460,729141,1817258,495774,1343232,71685,104556717,14524,167627
5842,5842,4209,2021-12-09,lepreal,lepreal,96216646,RP38,21296416.0,2815017,18888108,244073,463864,681834,1332069,93177,116300071,19669,583569
