,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
152,152,2696,2021-12-02,TeeroHPx,TeeroHPx,12507402,#N/A,29681342.0,76508,3411143,8,75898,602,0,0,106349542,10883,2088839,154205.0
206,206,4569,2021-12-14,Lady Manor,Lady Manor,13551576,RR38,60092137.0,35744914,426931782,750294,316200,802626,25457706,8418088,0,15723,5295021,426931782.0
230,230,4296,2021-12-14,Bajietong OG,Bajietong OG,14020401,RR38,64016549.0,22672010,237032134,4054643,417723,119220,12681960,5398464,0,52300,5737475,236912134.0
274,274,368,2021-11-22,Laffty,Laffty,15570213,Ri38,32176650.0,190122,484396,52851,37629,99642,0,0,342948002,23466,285938,484396.0
275,275,2331,2021-12-02,Laffty,Laffty,15570213,Ri38,32592998.0,227065,853826,52851,37629,99642,36943,0,372668002,23900,285938,853826.0
276,276,3330,2021-12-09,Laffty,Laffty,15570213,Ri38,33415725.0,227066,853826,52852,37629,99642,36943,0,387668002,24216,285938,853826.0
292,292,299,2021-11-22,I Am Tea Farm,I Am Tea Farm,15850637,F38S,24947929.0,0,0,0,0,0,0,0,1701000000,2714,0,0.0
293,293,2267,2021-12-02,I Am Tea Farm,I Am Tea Farm,15850637,F38s,25194679.0,0,0,0,0,0,0,0,1701000000,2743,0,0.0
294,294,3264,2021-12-09,I Am Tea Farm,I Am Tea Farm,15850637,F38N,25295479.0,0,0,0,0,0,0,0,1701000000,2753,0,0.0
295,295,4502,2021-12-14,I Am SaltTea,I Am SaltTea,15850637,#N/A,25383479.0,0,0,0,0,0,0,0,1991500000,2762,0,0.0
296,296,5510,2021-12-29,I Am SaltTea,I Am SaltTea,15850637,Rv38,26403501.0,0,0,0,0,0,0,0,1991500000,2795,0,0.0
297,297,1272,2022-01-01,I Am SaltTea,I Am SaltTea,15850637,RK38,26445901.0,0,0,0,0,0,0,0,1991500000,2801,0,0.0
328,328,4111,2021-12-09,Mjǫlnir,Mjolnir,16155630,Rw38,22524956.0,322745,1743980,20560,88697,95401,118087,0,326705964,3544,386286,1743980.0
351,351,5331,2021-12-29,Bortron,Bortron,16508127,Hp38,26232889.0,809787,12580348,3720,1135,1246,350137,453549,0,3801,1206918,12580348.0
